step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.14376964365698,-0.287838044479503,-0.144068400822523,-2.55548195587452e-12,-2.14096461100075e-12,1.74142764011037e-12,0.0140112263332156,0.00557263657231946,-0.00749041491322054
80,0.4,0.144051412353474,-0.288119905100862,-0.144068492747388,-5.08778136537168e-12,-4.25497268983447e-12,3.56087598643584e-12,0.0140112262745205,0.005572636604225,-0.00749041491469085
120,0.6,0.144182604172461,-0.288251250394091,-0.144068646221631,-7.58381869130943e-12,-6.34082729763152e-12,5.4931548676071e-12,0.0140112262159869,0.00557263663543299,-0.00749041491627256
160,0.8,0.144408658821106,-0.288477013564766,-0.14406835474366,-1.00305747459091e-11,-8.39771645505614e-12,7.43725437138409e-12,0.0140112261580302,0.0055726366662998,-0.00749041491782994
200,1,0.144628244582659,-0.28869667469258,-0.144068430109921,-1.24332803438671e-11,-1.04404307295608e-11,9.35918432597854e-12,0.0140112261001094,0.00557263669652101,-0.00749041491954046
240,1.2,0.144798261289709,-0.288866669160227,-0.144068407870518,-1.47680071432366e-11,-1.24743272911346e-11,1.11873481940979e-11,0.0140112260429246,0.00557263672713002,-0.00749041492110553
280,1.4,0.14493162595074,-0.288999999568527,-0.144068373617787,-1.70732977316504e-11,-1.45153897408542e-11,1.30806911255357e-11,0.014011225986239,0.00557263675769123,-0.00749041492248072
320,1.6,0.145089642798937,-0.28915803984616,-0.144068397047223,-1.93354785849899e-11,-1.65410945167756e-11,1.50536783288368e-11,0.0140112259298071,0.00557263678781577,-0.00749041492394282
360,1.8,0.145286149300705,-0.289354602527603,-0.144068453226898,-2.15825445080801e-11,-1.85669391306368e-11,1.69883089529404e-11,0.0140112258737447,0.00557263681760553,-0.00749041492569934
400,2,0.145366692568265,-0.289435092829835,-0.14406840026157,-2.37571270978159e-11,-2.06155898219997e-11,1.88503313164941e-11,0.0140112258183662,0.00557263684769314,-0.00749041492742291
440,2.2,0.145586691950281,-0.289655159230156,-0.144068467279875,-2.58519408815163e-11,-2.26909073399329e-11,2.06805546537452e-11,0.0140112257634446,0.00557263687808214,-0.00749041492907992
480,2.4,0.145781957743578,-0.289850330313781,-0.144068372570203,-2.7903200800275e-11,-2.47271047767224e-11,2.2426658240985e-11,0.0140112257091418,0.00557263690663133,-0.00749041493124019
520,2.6,0.145657315813814,-0.289725690192678,-0.144068374378864,-2.99161042347038e-11,-2.67362681879947e-11,2.40861939768133e-11,0.0140112256555397,0.00557263693441688,-0.00749041493362297
560,2.8,0.145678665700395,-0.289747018344244,-0.144068352643849,-3.18889303526672e-11,-2.87413703405591e-11,2.56835602861338e-11,0.0140112256025888,0.00557263696255621,-0.00749041493589032
600,3,0.145571068780354,-0.289639456348267,-0.144068387567913,-3.3782658094561e-11,-3.07506974799119e-11,2.73877366098463e-11,0.014011225548297,0.00557263699092937,-0.00749041493815139
640,3.2,0.145639005908255,-0.289707373581774,-0.144068367673519,-3.56125626492683e-11,-3.27256815938794e-11,2.90165733780011e-11,0.0140112254940052,0.00557263701922438,-0.00749041494049203
680,3.4,0.145622610301444,-0.28969114773819,-0.144068537436746,-3.74058191647715e-11,-3.46626742066258e-11,3.06347344410443e-11,0.0140112254404608,0.00557263704731357,-0.00749041494282785
720,3.6,0.14540967337768,-0.289478194453311,-0.144068521075631,-3.91708755546633e-11,-3.65902649433932e-11,3.22951717180841e-11,0.0140112253872396,0.00557263707520781,-0.00749041494532771
760,3.8,0.145250202707426,-0.289318648901672,-0.144068446194245,-4.09294761982443e-11,-3.85161219324665e-11,3.39010561701929e-11,0.0140112253343251,0.00557263710287807,-0.00749041494814569
800,4,0.145092997444754,-0.289161397127597,-0.144068399682843,-4.26534902233169e-11,-4.04417438122986e-11,3.54071623637296e-11,0.0140112252816821,0.00557263713006833,-0.00749041495108944
