step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
1440,7.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1460,7.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1480,7.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1500,7.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1520,7.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1540,7.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1560,7.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1580,7.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1600,8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1620,8.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1640,8.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1660,8.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1680,8.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1700,8.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1720,8.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1740,8.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1760,8.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1780,8.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1800,9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1820,9.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1840,9.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1860,9.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1880,9.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1900,9.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1920,9.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1940,9.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1960,9.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
1980,9.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
2000,10,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
2020,10.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
2040,10.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2060,10.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2080,10.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2100,10.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2120,10.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2140,10.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2160,10.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2180,10.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2200,11,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2220,11.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2240,11.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2260,11.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2280,11.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2300,11.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2320,11.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2340,11.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2360,11.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2380,11.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2400,12,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2420,12.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2440,12.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2460,12.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2480,12.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2500,12.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2520,12.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2540,12.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2560,12.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2580,12.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2600,13,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2620,13.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2640,13.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2660,13.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2680,13.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2700,13.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2720,13.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2740,13.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2760,13.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2780,13.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2800,14,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2820,14.1,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2840,14.2,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2860,14.3,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2880,14.4,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2900,14.5,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2920,14.6,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2940,14.7,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2960,14.8,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
2980,14.9,0.25,-0.5,-0.25,0,0,0,0.646508,-0.564642,0.513037
3000,15,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3020,15.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3040,15.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3060,15.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3080,15.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3100,15.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3120,15.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3140,15.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3160,15.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3180,15.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3200,16,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3220,16.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3240,16.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3260,16.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3280,16.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3300,16.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3320,16.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3340,16.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3360,16.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3380,16.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3400,17,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3420,17.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3440,17.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3460,17.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3480,17.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3500,17.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3520,17.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3540,17.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3560,17.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3580,17.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3600,18,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3620,18.1,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3640,18.2,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3660,18.3,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3680,18.4,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3700,18.5,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3720,18.6,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3740,18.7,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3760,18.8,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3780,18.9,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3800,19,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3820,19.1,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3840,19.2,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3860,19.3,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3880,19.4,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3900,19.5,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3920,19.6,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
3940,19.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3960,19.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
3980,19.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4000,20,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4020,20.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4040,20.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4060,20.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4080,20.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4100,20.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4120,20.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4140,20.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4160,20.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4180,20.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4200,21,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4220,21.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4240,21.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4260,21.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4280,21.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4300,21.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4320,21.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4340,21.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
4360,21.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
