step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769598708824,-0.287838043282947,-0.144068444574123,-1.32527285643572e-07,1.02006921361657e-07,-8.47281853165102e-08,0.0140064107810984,0.00557280386049061,-0.00749136911968188
80,0.4,0.144051320713177,-0.28811990028222,-0.144068579569042,-2.65045490559797e-07,2.03405251888685e-07,-1.69294602655372e-07,0.0140016128514967,0.00557297668501082,-0.00749232486113424
120,0.6,0.144182463702473,-0.288251239423388,-0.144068775720916,-3.97604515681067e-07,3.04221906987064e-07,-2.53683385321584e-07,0.0139968324287737,0.00557315716572227,-0.00749328209546955
160,0.8,0.144408467393312,-0.288476993587823,-0.144068526194512,-5.30402930940942e-07,4.04595015019506e-07,-3.3796509798427e-07,0.0139920678864782,0.00557334349811531,-0.00749423828458298
200,1,0.144628000088359,-0.288696643122826,-0.144068643034467,-6.63345967843041e-07,5.04547897474627e-07,-4.22188772347909e-07,0.0139873212911828,0.00557353419577817,-0.00749519430099501
240,1.2,0.144797962263086,-0.288866623461968,-0.144068661198882,-7.96708943195297e-07,6.04159905924891e-07,-5.06238569888994e-07,0.013982587035023,0.00557373255943026,-0.00749614874786827
280,1.4,0.14493126913531,-0.288999936450064,-0.144068667314755,-9.30123368912043e-07,7.03427214785197e-07,-5.900715202355e-07,0.0139778713691502,0.00557394008441231,-0.00749710542879492
320,1.6,0.145089224060191,-0.289157955846071,-0.14406873178588,-1.06369204425765e-06,8.02281434237955e-07,-6.73794760730831e-07,0.0139731731478316,0.00557415406492646,-0.00749806290730837
360,1.8,0.145285667336808,-0.289354496331659,-0.144068828994852,-1.19726852071285e-06,9.00642304272752e-07,-7.57726927755125e-07,0.0139684985657818,0.00557437026863776,-0.00749901620618581
400,2,0.145366142267715,-0.289434959210928,-0.144068816943212,-1.33096552726365e-06,9.98674381540723e-07,-8.41772162503006e-07,0.0139638454978172,0.00557459118218524,-0.00749996224503936
440,2.2,0.145586069419747,-0.289654993934857,-0.14406892451511,-1.46510674049572e-06,1.09641082142299e-06,-9.25684713555693e-07,0.0139592075717187,0.00557481893159133,-0.00750090618456175
480,2.4,0.145781260449918,-0.28985013030703,-0.144068869857113,-1.59912114700535e-06,1.19335464293405e-06,-1.00921638508054e-06,0.0139545861443539,0.00557505218107027,-0.00750184326580165
520,2.6,0.145656545085561,-0.289725456301982,-0.144068911216421,-1.73328957478333e-06,1.28982791515196e-06,-1.09252839334105e-06,0.0139499792396441,0.00557528939811423,-0.00750277495810447
560,2.8,0.145677814803378,-0.289746743486852,-0.144068928683474,-1.86796285920883e-06,1.3860999005542e-06,-1.17586697294048e-06,0.0139453873269236,0.00557553022448759,-0.00750370565180743
600,3,0.145570135527558,-0.289639137933745,-0.144069002406187,-2.0040434653818e-06,1.48137692429333e-06,-1.26069995272002e-06,0.0139408112245389,0.0055757408638769,-0.0075046161373823
640,3.2,0.145637985903037,-0.289707007926876,-0.144069022023839,-2.14134238927543e-06,1.57564203725325e-06,-1.34642649828517e-06,0.0139362467852656,0.005575927349829,-0.007505501709727
680,3.4,0.145621509963681,-0.28969074190555,-0.144069231941869,-2.27889460228654e-06,1.66953551593654e-06,-1.43198630058597e-06,0.0139316966696403,0.00557612106638956,-0.00750638682212503
720,3.6,0.145408473862313,-0.289477728858225,-0.144069254995912,-2.41663018302809e-06,1.76300375519874e-06,-1.51752928239385e-06,0.0139271645263312,0.00557632164519072,-0.00750727164194369
760,3.8,0.145248905828938,-0.289318123457519,-0.144069217628581,-2.55517410042129e-06,1.85604522682202e-06,-1.60342060828481e-06,0.0139226422758668,0.0055765219866645,-0.00750815619169848
800,4,0.145091630404085,-0.289160838699047,-0.144069208294961,-2.69525673560783e-06,1.94863406676815e-06,-1.68947475457875e-06,0.013918112737119,0.00557671335186754,-0.00750904144424007
