step,time,total,relDrift
0,0,-0.422764,0
60,0.6,-0.422686,0.000183056
120,1.2,-0.422594,0.000401041
180,1.8,-0.422388,0.000889135
240,2.4,-0.422156,0.001438
300,3,-0.422083,0.00161074
360,3.6,-0.422017,0.00176695
420,4.2,-0.421882,0.00208598
480,4.8,-0.421724,0.00245945
540,5.4,-0.421542,0.00288924
600,6,-0.421322,0.00340921
660,6.6,-0.421247,0.00358745
720,7.2,-0.42091,0.0043841
780,7.8,-0.420659,0.00497708
840,8.4,-0.420544,0.00524896
900,9,-0.420432,0.00551428
960,9.6,-0.419891,0.00679445
1020,10.2,-0.419647,0.00737077
1080,10.8,-0.419597,0.00748936
1140,11.4,-0.419191,0.00845001
1200,12,-0.418786,0.00940941
1260,12.6,-0.418278,0.0106105
1320,13.2,-0.417044,0.0135299
1380,13.8,-0.418006,0.0112526
1440,14.4,-0.418445,0.0102147
1500,15,-0.418428,0.0102547
1560,15.6,-0.418602,0.00984309
1620,16.2,-0.418757,0.00947685
1680,16.8,-0.418471,0.0101542
1740,17.4,-0.417825,0.0116813
1800,18,-0.416808,0.0140878
1860,18.6,-0.417756,0.0118437
1920,19.2,-0.417718,0.0119349
1980,19.8,-0.417745,0.0118712
2040,20.4,-0.417867,0.0115834
2100,21,-0.417658,0.0120756
2160,21.6,-0.417482,0.0124934
2220,22.2,-0.416752,0.0142206
2280,22.8,-0.415322,0.0176029
2340,23.4,-0.417371,0.0127547
2400,24,-0.417594,0.012229
2460,24.6,-0.414784,0.0188749
2520,25.2,-0.416309,0.0152684
2580,25.8,-0.416577,0.0146344
2640,26.4,-0.415905,0.0162229
2700,27,-0.416198,0.0155305
2760,27.6,-0.415859,0.0163308
2820,28.2,-0.415851,0.016352
2880,28.8,-0.415655,0.0168156
2940,29.4,-0.415398,0.0174214
3000,30,-0.41539,0.0174423
