step,time,id,x,y,vx,vy
1060,5.3,0,0.821922,0.569602,-0.402765,0.581178
1060,5.3,1,-0.821922,-0.569602,0.402765,-0.581178
1080,5.4,0,0.779625,0.626248,-0.442819,0.55127
1080,5.4,1,-0.779625,-0.626248,0.442819,-0.55127
1100,5.5,0,0.733432,0.679764,-0.48066,0.518607
1100,5.5,1,-0.733432,-0.679764,0.48066,-0.518607
1120,5.6,0,0.683573,0.729883,-0.516099,0.483352
1120,5.6,1,-0.683573,-0.729883,0.516099,-0.483352
1140,5.7,0,0.630297,0.776354,-0.548959,0.445681
1140,5.7,1,-0.630297,-0.776354,0.548959,-0.445681
1160,5.8,0,0.573872,0.818945,-0.579075,0.405783
1160,5.8,1,-0.573872,-0.818945,0.579075,-0.405783
1180,5.9,0,0.514579,0.857443,-0.606297,0.363857
1180,5.9,1,-0.514579,-0.857443,0.606297,-0.363857
1200,6,0,0.452714,0.891656,-0.630488,0.320112
1200,6,1,-0.452714,-0.891656,0.630488,-0.320112
1220,6.1,0,0.388586,0.921413,-0.651529,0.274768
1220,6.1,1,-0.388586,-0.921413,0.651529,-0.274768
1240,6.2,0,0.322516,0.946564,-0.669313,0.22805
1240,6.2,1,-0.322516,-0.946564,0.669313,-0.22805
1260,6.3,0,0.254834,0.966985,-0.683753,0.180193
1260,6.3,1,-0.254834,-0.966985,0.683753,-0.180193
1280,6.4,0,0.185879,0.982573,-0.694775,0.131435
1280,6.4,1,-0.185879,-0.982573,0.694775,-0.131435
1300,6.5,0,0.115995,0.99325,-0.702325,0.0820201
1300,6.5,1,-0.115995,-0.99325,0.702325,-0.0820201
1320,6.6,0,0.045531,0.998963,-0.706365,0.0321954
1320,6.6,1,-0.045531,-0.998963,0.706365,-0.0321954
1340,6.7,0,-0.0251605,0.999684,-0.706874,-0.0177903
1340,6.7,1,0.0251605,-0.999684,0.706874,0.0177903
1360,6.8,0,-0.0957263,0.995408,-0.703851,-0.0676871
1360,6.8,1,0.0957263,-0.995408,0.703851,0.0676871
1380,6.9,0,-0.165814,0.986157,-0.69731,-0.117246
1380,6.9,1,0.165814,-0.986157,0.69731,0.117246
1400,7,0,-0.235072,0.971978,-0.687284,-0.166218
1400,7,1,0.235072,-0.971978,0.687284,0.166218
1420,7.1,0,-0.303156,0.952941,-0.673823,-0.21436
1420,7.1,1,0.303156,-0.952941,0.673823,0.21436
1440,7.2,0,-0.369725,0.929142,-0.656994,-0.26143
1440,7.2,1,0.369725,-0.929142,0.656994,0.26143
1460,7.3,0,-0.434446,0.900699,-0.636882,-0.307194
1460,7.3,1,0.434446,-0.900699,0.636882,0.307194
1480,7.4,0,-0.496995,0.867754,-0.613587,-0.351423
1480,7.4,1,0.496995,-0.867754,0.613587,0.351423
1500,7.5,0,-0.557061,0.830473,-0.587225,-0.393895
1500,7.5,1,0.557061,-0.830473,0.587225,0.393895
1520,7.6,0,-0.614343,0.789041,-0.557929,-0.434398
1520,7.6,1,0.614343,-0.789041,0.557929,0.434398
1540,7.7,0,-0.668554,0.743665,-0.525844,-0.472731
1540,7.7,1,0.668554,-0.743665,0.525844,0.472731
1560,7.8,0,-0.719424,0.694573,-0.491131,-0.508701
1560,7.8,1,0.719424,-0.694573,0.491131,0.508701
1580,7.9,0,-0.766699,0.64201,-0.453963,-0.542128
1580,7.9,1,0.766699,-0.64201,0.453963,0.542128
1600,8,0,-0.810141,0.586238,-0.414527,-0.572846
1600,8,1,0.810141,-0.586238,0.414527,0.572846
1620,8.1,0,-0.849535,0.527536,-0.373019,-0.600701
1620,8.1,1,0.849535,-0.527536,0.373019,0.600701
1640,8.2,0,-0.884683,0.466197,-0.329647,-0.625554
1640,8.2,1,0.884683,-0.466197,0.329647,0.625554
1660,8.3,0,-0.91541,0.402529,-0.284627,-0.647281
1660,8.3,1,0.91541,-0.402529,0.284627,0.647281
1680,8.4,0,-0.941561,0.336848,-0.238185,-0.665773
1680,8.4,1,0.941561,-0.336848,0.238185,0.665773
1700,8.5,0,-0.963007,0.269485,-0.190552,-0.680937
1700,8.5,1,0.963007,-0.269485,0.190552,0.680937
1720,8.6,0,-0.97964,0.200774,-0.141967,-0.692698
1720,8.6,1,0.97964,-0.200774,0.141967,0.692698
1740,8.7,0,-0.991377,0.13106,-0.092673,-0.700997
1740,8.7,1,0.991377,-0.13106,0.092673,0.700997
1760,8.8,0,-0.998159,0.0606915,-0.0429155,-0.705792
1760,8.8,1,0.998159,-0.0606915,0.0429155,0.705792
1780,8.9,0,-0.999953,-0.0099808,0.00705658,-0.707061
1780,8.9,1,0.999953,0.0099808,-0.00705658,0.707061
1800,9,0,-0.996749,-0.0806032,0.0569933,-0.704795
1800,9,1,0.996749,0.0806032,-0.0569933,0.704795
1820,9.1,0,-0.988564,-0.150823,0.106645,-0.699007
1820,9.1,1,0.988564,0.150823,-0.106645,0.699007
1840,9.2,0,-0.975438,-0.220288,0.155764,-0.689726
1840,9.2,1,0.975438,0.220288,-0.155764,0.689726
