test,p,max_rel,rms_rel
small,2,0.182124,0.0203092
small,4,0.00727234,0.000888117
small,6,0.000626642,8.1037e-05
small,8,0.000454446,2.97028e-05
global,4,0.0403142,0.000723097
global,8,0.00081377,1.25149e-05
global,12,1.73062e-05,2.71494e-07
