step,time,sep
1435,28.7,2.83265
1440,28.8,2.84216
1445,28.9,2.85173
1450,29,2.86134
1455,29.1,2.87114
1460,29.2,2.88106
1465,29.3,2.89089
1470,29.4,2.90054
1475,29.5,2.91
1480,29.6,2.91936
1485,29.7,2.9286
1490,29.8,2.93769
1495,29.9,2.94667
1500,30,2.95558
1505,30.1,2.96449
1510,30.2,2.9735
1515,30.3,2.98254
1520,30.4,2.99149
1525,30.5,3.00032
1530,30.6,3.00911
1535,30.7,3.0179
1540,30.8,3.02663
1545,30.9,3.03524
1550,31,3.04371
1555,31.1,3.05201
1560,31.2,3.06007
1565,31.3,3.06783
1570,31.4,3.07535
1575,31.5,3.08276
1580,31.6,3.09025
1585,31.7,3.09799
1590,31.8,3.10608
1595,31.9,3.11436
1600,32,3.12259
1605,32.1,3.13067
1610,32.2,3.13852
1615,32.3,3.14615
1620,32.4,3.15364
1625,32.5,3.16113
1630,32.6,3.16865
1635,32.7,3.17615
1640,32.8,3.18359
1645,32.9,3.19092
1650,33,3.19808
1655,33.1,3.20506
1660,33.2,3.21188
1665,33.3,3.21859
1670,33.4,3.2253
1675,33.5,3.23212
1680,33.6,3.23912
1685,33.7,3.24633
1690,33.8,3.25369
1695,33.9,3.26117
1700,34,3.26872
1705,34.1,3.2763
1710,34.2,3.28388
1715,34.3,3.29138
1720,34.4,3.29877
1725,34.5,3.306
1730,34.6,3.31304
1735,34.7,3.31996
1740,34.8,3.32691
1745,34.9,3.33394
1750,35,3.34094
1755,35.1,3.34797
1760,35.2,3.35512
1765,35.3,3.36241
1770,35.4,3.36975
1775,35.5,3.377
1780,35.6,3.38411
1785,35.7,3.39108
1790,35.8,3.39796
1795,35.9,3.40482
1800,36,3.41165
1805,36.1,3.41839
1810,36.2,3.42509
1815,36.3,3.43177
1820,36.4,3.43849
1825,36.5,3.44528
1830,36.6,3.45206
1835,36.7,3.45879
1840,36.8,3.46558
1845,36.9,3.47245
1850,37,3.47935
1855,37.1,3.48622
1860,37.2,3.49308
1865,37.3,3.49986
1870,37.4,3.5066
1875,37.5,3.51342
1880,37.6,3.52038
1885,37.7,3.52738
1890,37.8,3.53434
1895,37.9,3.5413
1900,38,3.54823
1905,38.1,3.55512
1910,38.2,3.56203
1915,38.3,3.56899
1920,38.4,3.57604
1925,38.5,3.58311
1930,38.6,3.59006
1935,38.7,3.59679
1940,38.8,3.60336
1945,38.9,3.60987
1950,39,3.6164
1955,39.1,3.62291
1960,39.2,3.62933
1965,39.3,3.63557
1970,39.4,3.64163
1975,39.5,3.64756
1980,39.6,3.65335
1985,39.7,3.65902
1990,39.8,3.6646
1995,39.9,3.67015
2000,40,3.67567
2005,40.1,3.68116
2010,40.2,3.68661
2015,40.3,3.69195
2020,40.4,3.69719
2025,40.5,3.70239
2030,40.6,3.70757
2035,40.7,3.71276
2040,40.8,3.71799
2045,40.9,3.72316
2050,41,3.72821
2055,41.1,3.73317
2060,41.2,3.73811
2065,41.3,3.74301
2070,41.4,3.74777
2075,41.5,3.7523
2080,41.6,3.75664
2085,41.7,3.76075
2090,41.8,3.76459
2095,41.9,3.76818
2100,42,3.77158
2105,42.1,3.7748
2110,42.2,3.77784
2115,42.3,3.78066
2120,42.4,3.78327
2125,42.5,3.78578
2130,42.6,3.78826
2135,42.7,3.79078
2140,42.8,3.79342
2145,42.9,3.79623
2150,43,3.79922
2155,43.1,3.80235
2160,43.2,3.80563
2165,43.3,3.80902
2170,43.4,3.8125
2175,43.5,3.81607
2180,43.6,3.81966
2185,43.7,3.82323
2190,43.8,3.82675
2195,43.9,3.83018
2200,44,3.83355
2205,44.1,3.83687
2210,44.2,3.84021
2215,44.3,3.84363
2220,44.4,3.8471
2225,44.5,3.85059
2230,44.6,3.85413
2235,44.7,3.85784
2240,44.8,3.86173
2245,44.9,3.86573
2250,45,3.86982
2255,45.1,3.87401
2260,45.2,3.87833
2265,45.3,3.8828
2270,45.4,3.88733
2275,45.5,3.89183
2280,45.6,3.89629
2285,45.7,3.90069
2290,45.8,3.90498
2295,45.9,3.90917
2300,46,3.91338
2305,46.1,3.91775
2310,46.2,3.92229
2315,46.3,3.92691
2320,46.4,3.93152
2325,46.5,3.93614
2330,46.6,3.9408
2335,46.7,3.94556
2340,46.8,3.95042
2345,46.9,3.95533
2350,47,3.96035
2355,47.1,3.96554
2360,47.2,3.9709
2365,47.3,3.97644
2370,47.4,3.98215
2375,47.5,3.98801
2380,47.6,3.99399
2385,47.7,4.0001
2390,47.8,4.0063
2395,47.9,4.01244
2400,48,4.01852
2405,48.1,4.02461
2410,48.2,4.0308
2415,48.3,4.03717
2420,48.4,4.04372
2425,48.5,4.05047
2430,48.6,4.05741
2435,48.7,4.06437
2440,48.8,4.07128
2445,48.9,4.07813
2450,49,4.08502
2455,49.1,4.09208
2460,49.2,4.09943
2465,49.3,4.10713
