step,time,kinetic,potential,total,Px,Py
3900,7.8,0.288907,-0.308471,-0.019564,3.20291e-09,-1.78083e-09
3950,7.9,0.307834,-0.32728,-0.0194456,2.98659e-09,-1.10348e-09
4000,8,0.324722,-0.344053,-0.0193311,2.48786e-09,-4.54124e-10
4050,8.1,0.339073,-0.358321,-0.0192472,2.30722e-09,-3.52654e-10
4100,8.2,0.349772,-0.36898,-0.0192079,1.68659e-09,-5.98937e-10
4150,8.3,0.355663,-0.374864,-0.0192007,7.48109e-10,-1.83418e-09
4200,8.4,0.356089,-0.37532,-0.0192314,9.13037e-10,-2.36345e-09
4250,8.5,0.351219,-0.37054,-0.0193209,1.62578e-09,-2.4344e-09
4300,8.6,0.341672,-0.361102,-0.0194302,1.42276e-09,-2.11253e-09
4350,8.7,0.328675,-0.348246,-0.0195703,9.49679e-10,-1.9777e-09
4400,8.8,0.312831,-0.33256,-0.0197284,5.89342e-10,-2.34317e-09
4450,8.9,0.295248,-0.315156,-0.0199072,7.14007e-10,-2.59734e-09
4500,9,0.27715,-0.297224,-0.0200736,9.03087e-10,-2.18031e-09
4550,9.1,0.259354,-0.279577,-0.0202231,5.97575e-10,-2.91957e-09
4600,9.2,0.242739,-0.263083,-0.0203435,6.5355e-10,-3.45822e-09
4650,9.3,0.228106,-0.24855,-0.0204445,1.14895e-09,-4.13616e-09
4700,9.4,0.215882,-0.236406,-0.0205239,1.78566e-09,-4.53264e-09
4750,9.5,0.206024,-0.226601,-0.0205772,2.26425e-09,-4.70193e-09
4800,9.6,0.198406,-0.219012,-0.0206061,2.16102e-09,-5.23156e-09
4850,9.7,0.192728,-0.213348,-0.0206202,2.12699e-09,-5.29585e-09
4900,9.8,0.188829,-0.209449,-0.0206202,1.79545e-09,-5.34504e-09
4950,9.9,0.18676,-0.207365,-0.0206052,1.74777e-09,-5.15642e-09
5000,10,0.186464,-0.207041,-0.0205763,1.37844e-09,-5.44284e-09
5050,10.1,0.187803,-0.208352,-0.0205489,1.04392e-09,-5.30956e-09
5100,10.2,0.190229,-0.210744,-0.0205152,4.96862e-10,-5.99765e-09
5150,10.3,0.193747,-0.214231,-0.0204838,1.18237e-09,-6.34506e-09
5200,10.4,0.198622,-0.219071,-0.020449,1.0674e-09,-5.77157e-09
5250,10.5,0.204905,-0.225302,-0.0203977,1.79319e-09,-4.9601e-09
5300,10.6,0.212393,-0.232739,-0.0203457,2.19473e-09,-4.8033e-09
5350,10.7,0.220429,-0.240718,-0.0202895,2.52062e-09,-4.64795e-09
5400,10.8,0.228428,-0.248668,-0.0202399,2.88759e-09,-4.27183e-09
5450,10.9,0.235706,-0.255909,-0.0202031,3.44196e-09,-3.66687e-09
5500,11,0.241535,-0.26171,-0.0201743,2.90692e-09,-3.52674e-09
5550,11.1,0.246472,-0.266626,-0.0201542,3.12623e-09,-3.40485e-09
5600,11.2,0.250573,-0.270712,-0.0201392,3.16288e-09,-2.92655e-09
5650,11.3,0.254055,-0.274178,-0.0201231,3.27787e-09,-3.13231e-09
5700,11.4,0.257103,-0.277217,-0.0201141,2.94405e-09,-3.04227e-09
5750,11.5,0.259948,-0.280051,-0.020103,2.27972e-09,-2.67051e-09
5800,11.6,0.262637,-0.282729,-0.0200918,1.54877e-09,-2.39611e-09
5850,11.7,0.26513,-0.285219,-0.0200891,8.57722e-10,-2.84516e-09
5900,11.8,0.267187,-0.287271,-0.020084,-6.74813e-11,-3.58865e-09
5950,11.9,0.269017,-0.289092,-0.0200748,-2.53481e-10,-4.26698e-09
6000,12,0.270492,-0.290565,-0.0200735,-2.94183e-10,-4.86001e-09
6050,12.1,0.271296,-0.291363,-0.020067,4.61029e-10,-5.81593e-09
6100,12.2,0.27152,-0.291588,-0.0200675,1.83766e-09,-5.97813e-09
6150,12.3,0.27079,-0.290862,-0.0200721,2.51761e-09,-5.18884e-09
6200,12.4,0.268927,-0.289002,-0.0200757,2.37534e-09,-4.57387e-09
6250,12.5,0.266283,-0.286385,-0.0201016,2.27784e-09,-3.62721e-09
6300,12.6,0.262767,-0.282897,-0.0201294,2.77278e-09,-2.68711e-09
6350,12.7,0.259056,-0.279212,-0.0201554,3.2173e-09,-2.16959e-09
6400,12.8,0.255373,-0.275559,-0.0201861,3.73613e-09,-2.38928e-09
6450,12.9,0.251599,-0.27181,-0.0202114,4.22959e-09,-2.12168e-09
6500,13,0.247545,-0.267777,-0.0202314,3.88787e-09,-1.50395e-09
6550,13.1,0.243091,-0.263348,-0.0202575,4.04059e-09,-1.41054e-09
6600,13.2,0.238628,-0.258917,-0.0202891,4.14671e-09,-1.50181e-09
6650,13.3,0.234295,-0.254622,-0.020327,4.45275e-09,-9.48126e-10
6700,13.4,0.230445,-0.2508,-0.0203547,4.28914e-09,-7.53131e-10
6750,13.5,0.22744,-0.247822,-0.0203815,4.47041e-09,-9.66535e-10
6800,13.6,0.225467,-0.245865,-0.0203978,4.43069e-09,-1.28213e-09
6850,13.7,0.224562,-0.244967,-0.0204055,4.66424e-09,-8.18259e-10
6900,13.8,0.224632,-0.245034,-0.0204017,4.69425e-09,-5.60039e-10
6950,13.9,0.225476,-0.245879,-0.0204027,4.53444e-09,-2.45338e-10
7000,14,0.22736,-0.247746,-0.0203852,5.08412e-09,-7.63035e-10
7050,14.1,0.230356,-0.250714,-0.0203585,5.57835e-09,-4.39646e-10
7100,14.2,0.234369,-0.254695,-0.0203265,6.1786e-09,-6.79234e-10
7150,14.3,0.239099,-0.259397,-0.0202975,7.12089e-09,-1.01074e-09
7200,14.4,0.243962,-0.264226,-0.0202642,7.6157e-09,-1.05773e-09
7250,14.5,0.24864,-0.268875,-0.0202345,7.65353e-09,-8.06419e-10
7300,14.6,0.252794,-0.273001,-0.0202073,7.26374e-09,-8.19616e-10
7350,14.7,0.255685,-0.275863,-0.0201785,7.09103e-09,-1.15555e-09
7400,14.8,0.256851,-0.277018,-0.0201664,6.40325e-09,-1.34434e-09
7450,14.9,0.256932,-0.277092,-0.0201604,6.36129e-09,-1.12685e-09
7500,15,0.256574,-0.276733,-0.0201587,6.57825e-09,-7.90466e-10
7550,15.1,0.256153,-0.276316,-0.0201633,6.4637e-09,-2.16443e-10
7600,15.2,0.255546,-0.275721,-0.0201755,6.27604e-09,-9.71856e-11
7650,15.3,0.254456,-0.274643,-0.0201874,5.76609e-09,1.39636e-10
7700,15.4,0.253008,-0.2732,-0.0201922,5.93162e-09,4.44906e-10
7750,15.5,0.251065,-0.271275,-0.0202101,6.00029e-09,6.77155e-10
7800,15.6,0.248537,-0.268759,-0.0202219,5.49275e-09,5.20364e-10
7850,15.7,0.245978,-0.266216,-0.020238,5.6496e-09,-9.68551e-11
7900,15.8,0.243716,-0.263963,-0.0202468,5.42841e-09,-1.13109e-09
7950,15.9,0.241669,-0.261934,-0.0202654,6.03582e-09,-1.37191e-09
8000,16,0.239804,-0.260088,-0.0202849,6.78049e-09,-7.8588e-10
8050,16.1,0.237879,-0.258177,-0.020298,6.57437e-09,-1.7046e-10
8100,16.2,0.236142,-0.256453,-0.0203111,6.37109e-09,-2.21832e-10
8150,16.3,0.234645,-0.254959,-0.0203146,6.61958e-09,-2.72044e-10
8200,16.4,0.233255,-0.253577,-0.0203221,6.93323e-09,-3.28936e-10
8250,16.5,0.232055,-0.252386,-0.0203312,6.99632e-09,-1.18114e-10
8300,16.6,0.231266,-0.251606,-0.02034,6.91847e-09,1.86722e-10
8350,16.7,0.231351,-0.25168,-0.0203291,6.58448e-09,2.40034e-10
8400,16.8,0.232519,-0.252839,-0.0203208,6.04927e-09,1.30367e-10
8450,16.9,0.234683,-0.254989,-0.0203055,5.61661e-09,2.75016e-11
8500,17,0.237597,-0.257881,-0.0202842,5.76351e-09,-5.36792e-10
8550,17.1,0.240445,-0.260713,-0.0202683,5.30224e-09,-4.59254e-10
8600,17.2,0.242592,-0.262849,-0.0202565,3.91679e-09,-1.13299e-09
8650,17.3,0.244122,-0.264365,-0.0202432,3.65966e-09,-1.29767e-09
8700,17.4,0.245167,-0.265405,-0.0202382,3.66948e-09,-1.01258e-09
8750,17.5,0.246063,-0.266297,-0.0202341,3.58725e-09,-8.29773e-10
8800,17.6,0.246998,-0.267222,-0.0202241,3.71464e-09,-1.15534e-09
8850,17.7,0.248092,-0.268309,-0.0202164,3.64487e-09,-9.84313e-10
8900,17.8,0.24926,-0.269472,-0.0202125,3.0776e-09,-9.69422e-10
8950,17.9,0.250425,-0.27063,-0.0202045,2.08729e-09,-1.21148e-09
9000,18,0.251331,-0.271532,-0.0202016,1.86101e-09,-2.36537e-09
9050,18.1,0.25181,-0.272004,-0.0201933,2.18351e-09,-3.23936e-09
9100,18.2,0.252241,-0.272437,-0.0201953,2.15883e-09,-3.50487e-09
9150,18.3,0.252891,-0.273084,-0.0201935,2.09988e-09,-3.70764e-09
9200,18.4,0.253679,-0.27387,-0.0201914,1.96304e-09,-3.64453e-09
9250,18.5,0.254939,-0.275125,-0.0201859,1.81591e-09,-2.62375e-09
9300,18.6,0.256432,-0.276615,-0.0201823,1.90411e-09,-1.91359e-09
9350,18.7,0.257552,-0.277737,-0.020185,2.43303e-09,-1.77842e-09
9400,18.8,0.257485,-0.277671,-0.0201855,2.43722e-09,-8.9726e-10
9450,18.9,0.256095,-0.276288,-0.020193,2.02508e-09,-9.88495e-10
9500,19,0.253969,-0.274169,-0.0202007,1.96702e-09,-1.11076e-09
9550,19.1,0.251358,-0.271568,-0.0202107,2.0849e-09,-7.35731e-10
9600,19.2,0.248334,-0.268564,-0.0202293,2.83535e-09,-5.52303e-10
9650,19.3,0.245103,-0.265352,-0.0202485,3.56657e-09,-2.29194e-10
9700,19.4,0.241996,-0.262257,-0.0202605,3.6389e-09,4.77494e-10
9750,19.5,0.239425,-0.259695,-0.0202693,3.86915e-09,6.76037e-10
9800,19.6,0.237691,-0.257964,-0.0202722,3.85804e-09,1.24321e-09
9850,19.7,0.236837,-0.257118,-0.0202813,4.08623e-09,2.18347e-09
9900,19.8,0.23638,-0.256665,-0.0202853,3.62451e-09,2.81297e-09
9950,19.9,0.236129,-0.256411,-0.0202819,3.7805e-09,3.05635e-09
10000,20,0.236297,-0.256577,-0.02028,4.07902e-09,3.27442e-09
10050,20.1,0.237187,-0.257464,-0.0202769,3.99011e-09,3.58744e-09
10100,20.2,0.238627,-0.258904,-0.0202772,3.77357e-09,4.41558e-09
10150,20.3,0.240558,-0.260841,-0.0202836,4.06355e-09,5.04313e-09
10200,20.4,0.242046,-0.262329,-0.0202836,4.05611e-09,5.29731e-09
10250,20.5,0.242516,-0.262789,-0.0202733,4.04525e-09,4.77948e-09
10300,20.6,0.242187,-0.262451,-0.020264,4.70593e-09,4.80396e-09
10350,20.7,0.241989,-0.262247,-0.0202582,5.10654e-09,4.95833e-09
10400,20.8,0.241958,-0.262211,-0.0202531,5.2485e-09,4.9144e-09
10450,20.9,0.242042,-0.262298,-0.0202559,5.24658e-09,3.60741e-09
10500,21,0.242227,-0.262483,-0.0202559,5.47555e-09,3.80505e-09
10550,21.1,0.242409,-0.262668,-0.0202594,5.08775e-09,3.26273e-09
10600,21.2,0.242782,-0.263044,-0.020262,4.90118e-09,3.28191e-09
10650,21.3,0.243373,-0.263634,-0.0202608,5.17506e-09,3.43655e-09
10700,21.4,0.244028,-0.264291,-0.0202626,5.31813e-09,3.40337e-09
10750,21.5,0.24469,-0.264952,-0.0202627,6.24612e-09,3.26825e-09
10800,21.6,0.245283,-0.265546,-0.020263,6.92809e-09,4.08565e-09
10850,21.7,0.245702,-0.265966,-0.0202648,7.42519e-09,4.05616e-09
10900,21.8,0.246023,-0.266289,-0.0202663,6.59801e-09,3.93304e-09
10950,21.9,0.246201,-0.26646,-0.0202582,6.18722e-09,3.73238e-09
11000,22,0.246227,-0.266482,-0.0202556,6.10034e-09,3.82241e-09
11050,22.1,0.246115,-0.266374,-0.0202593,6.49035e-09,3.94946e-09
11100,22.2,0.246109,-0.266373,-0.0202644,6.86823e-09,3.99987e-09
11150,22.3,0.246227,-0.266498,-0.0202709,7.31307e-09,3.65782e-09
11200,22.4,0.246018,-0.266296,-0.0202781,7.56305e-09,3.70724e-09
11250,22.5,0.245655,-0.265938,-0.020283,7.23001e-09,4.20311e-09
11300,22.6,0.245461,-0.265746,-0.0202844,6.73977e-09,3.90356e-09
11350,22.7,0.245608,-0.265894,-0.0202869,6.21225e-09,4.03113e-09
11400,22.8,0.24608,-0.266372,-0.0202912,6.552e-09,4.18708e-09
11450,22.9,0.246646,-0.266943,-0.0202972,6.57937e-09,4.69826e-09
11500,23,0.246992,-0.267296,-0.0203037,6.29799e-09,5.35589e-09
11550,23.1,0.246562,-0.266873,-0.0203104,6.21056e-09,5.53416e-09
11600,23.2,0.245519,-0.265829,-0.02031,6.27352e-09,5.67811e-09
11650,23.3,0.244657,-0.264969,-0.0203121,6.81251e-09,6.00556e-09
11700,23.4,0.244119,-0.26444,-0.0203206,6.84773e-09,6.42258e-09
11750,23.5,0.243954,-0.264271,-0.0203175,6.46173e-09,6.75535e-09
11800,23.6,0.243903,-0.264218,-0.020315,6.58786e-09,7.52472e-09
11850,23.7,0.243966,-0.264283,-0.0203176,6.53921e-09,7.42129e-09
11900,23.8,0.24438,-0.264696,-0.0203154,5.9803e-09,7.59944e-09
11950,23.9,0.245043,-0.265356,-0.0203127,5.35832e-09,7.53856e-09
12000,24,0.245892,-0.266197,-0.0203051,5.16859e-09,7.60544e-09
12050,24.1,0.246628,-0.266927,-0.0202994,4.8342e-09,7.10109e-09
12100,24.2,0.247248,-0.267541,-0.0202933,4.31456e-09,6.20972e-09
12150,24.3,0.247483,-0.267773,-0.0202899,4.86311e-09,6.03088e-09
12200,24.4,0.247206,-0.267498,-0.0202925,5.69957e-09,6.24826e-09
12250,24.5,0.246382,-0.266683,-0.0203011,6.48288e-09,6.09812e-09
12300,24.6,0.24529,-0.265595,-0.0203056,6.74337e-09,6.10358e-09
12350,24.7,0.244221,-0.264537,-0.0203156,6.74198e-09,6.17338e-09
12400,24.8,0.243339,-0.263669,-0.0203298,6.91629e-09,6.28371e-09
12450,24.9,0.242597,-0.262935,-0.0203377,6.56812e-09,6.32814e-09
12500,25,0.241936,-0.262289,-0.0203524,6.26203e-09,6.13415e-09
12550,25.1,0.241175,-0.261534,-0.0203595,6.11849e-09,6.09413e-09
12600,25.2,0.240505,-0.260868,-0.0203622,5.52424e-09,5.85348e-09
12650,25.3,0.240379,-0.260734,-0.0203557,5.36195e-09,5.73798e-09
12700,25.4,0.241136,-0.261483,-0.0203476,5.75513e-09,5.58362e-09
12750,25.5,0.242482,-0.262818,-0.0203351,6.27081e-09,5.38813e-09
12800,25.6,0.2441,-0.264421,-0.0203216,6.90358e-09,5.33901e-09
12850,25.7,0.246046,-0.266358,-0.0203114,7.62343e-09,5.43262e-09
12900,25.8,0.248125,-0.268426,-0.0203003,7.83699e-09,5.51194e-09
12950,25.9,0.250124,-0.270407,-0.0202832,7.82483e-09,5.83485e-09
13000,26,0.251903,-0.272165,-0.0202616,7.77718e-09,5.96122e-09
13050,26.1,0.253295,-0.273543,-0.0202475,7.97856e-09,5.89942e-09
