step,time,sep
1435,28.7,3.32003
1440,28.8,3.33496
1445,28.9,3.34975
1450,29,3.36435
1455,29.1,3.3788
1460,29.2,3.39322
1465,29.3,3.40766
1470,29.4,3.42207
1475,29.5,3.43648
1480,29.6,3.45097
1485,29.7,3.46552
1490,29.8,3.47995
1495,29.9,3.49418
1500,30,3.50824
1505,30.1,3.52207
1510,30.2,3.53573
1515,30.3,3.54932
1520,30.4,3.56297
1525,30.5,3.57683
1530,30.6,3.59098
1535,30.7,3.60543
1540,30.8,3.62008
1545,30.9,3.63494
1550,31,3.65009
1555,31.1,3.66545
1560,31.2,3.68087
1565,31.3,3.6962
1570,31.4,3.71131
1575,31.5,3.72622
1580,31.6,3.74096
1585,31.7,3.75554
1590,31.8,3.76999
1595,31.9,3.78432
1600,32,3.7985
1605,32.1,3.81252
1610,32.2,3.82638
1615,32.3,3.84016
1620,32.4,3.85397
1625,32.5,3.86777
1630,32.6,3.88163
1635,32.7,3.89554
1640,32.8,3.90946
1645,32.9,3.92332
1650,33,3.93712
1655,33.1,3.95079
1660,33.2,3.96434
1665,33.3,3.97788
1670,33.4,3.99155
1675,33.5,4.00531
1680,33.6,4.01911
1685,33.7,4.03295
1690,33.8,4.04677
1695,33.9,4.06059
1700,34,4.07452
1705,34.1,4.08862
1710,34.2,4.10278
1715,34.3,4.11681
1720,34.4,4.13058
1725,34.5,4.14408
1730,34.6,4.15733
1735,34.7,4.17033
1740,34.8,4.18316
1745,34.9,4.19587
1750,35,4.20848
1755,35.1,4.22108
1760,35.2,4.23367
1765,35.3,4.2462
1770,35.4,4.25875
1775,35.5,4.27143
1780,35.6,4.28427
1785,35.7,4.29728
1790,35.8,4.31046
1795,35.9,4.32378
1800,36,4.33715
1805,36.1,4.35042
1810,36.2,4.36355
1815,36.3,4.37655
1820,36.4,4.38943
1825,36.5,4.4022
1830,36.6,4.41491
1835,36.7,4.42763
1840,36.8,4.4404
1845,36.9,4.45317
1850,37,4.46589
1855,37.1,4.47849
1860,37.2,4.49095
1865,37.3,4.50328
1870,37.4,4.5155
1875,37.5,4.52757
1880,37.6,4.53948
1885,37.7,4.55115
1890,37.8,4.56254
1895,37.9,4.57369
1900,38,4.58466
1905,38.1,4.5955
1910,38.2,4.60622
1915,38.3,4.61685
1920,38.4,4.62742
1925,38.5,4.63786
1930,38.6,4.64807
1935,38.7,4.65802
1940,38.8,4.66775
1945,38.9,4.67731
1950,39,4.68678
1955,39.1,4.69623
1960,39.2,4.70572
1965,39.3,4.71528
1970,39.4,4.72491
1975,39.5,4.73457
1980,39.6,4.74415
1985,39.7,4.75365
1990,39.8,4.76314
1995,39.9,4.7726
2000,40,4.78199
2005,40.1,4.79132
2010,40.2,4.80068
