N,direct_sec,bh_sec,fmm_sec
100,7.292e-06,7.916e-06,2.8916e-05
250,3.6292e-05,4.2333e-05,0.000148041
500,0.00014225,6.8916e-05,0.000175708
1000,0.000604625,0.00020925,0.000771916
2000,0.00223242,0.000781667,0.000894667
4000,0.0137827,0.0026045,0.00342754
8000,0.0557742,0.00703775,0.00395404
16000,0.195459,0.0163842,0.0152192
32000,0.746179,0.0363865,0.0175361
64000,3.19456,0.0817974,0.0644073
128000,,0.194508,0.0825791
256000,,0.570332,0.295205
