step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.118493,-0.0239058,4.96022e-18,7.80626e-18
50,0.1,0.0960255,-0.119931,-0.0239058,-2.0743e-08,1.17229e-08
100,0.2,0.10066,-0.124565,-0.0239056,-4.65443e-08,1.17048e-08
150,0.3,0.108509,-0.132414,-0.0239053,-6.49641e-08,5.29448e-10
200,0.4,0.119686,-0.143591,-0.0239049,-7.33131e-08,-1.07664e-08
250,0.5,0.134419,-0.158323,-0.0239044,-8.28504e-08,-3.5651e-08
300,0.6,0.152965,-0.176868,-0.0239037,-9.48006e-08,-3.28892e-08
350,0.7,0.175667,-0.199569,-0.0239028,-1.05398e-07,4.46965e-09
400,0.8,0.202735,-0.226637,-0.0239016,-1.56787e-07,-5.71967e-10
450,0.9,0.234623,-0.258523,-0.0238999,-2.11168e-07,-3.6291e-08
500,1,0.271632,-0.29553,-0.0238979,-2.1926e-07,-6.79039e-08
550,1.1,0.313892,-0.337788,-0.0238952,-1.93011e-07,-9.36658e-08
600,1.2,0.360787,-0.384678,-0.0238919,-1.54668e-07,-9.16312e-08
650,1.3,0.409946,-0.433834,-0.0238881,-1.03579e-07,-7.3975e-08
700,1.4,0.455455,-0.479339,-0.0238839,-1.02897e-07,-7.64864e-08
750,1.5,0.488533,-0.512414,-0.0238803,-1.17376e-07,-1.11032e-07
800,1.6,0.50163,-0.525509,-0.0238786,-1.22457e-07,-8.64786e-08
850,1.7,0.491464,-0.515343,-0.0238798,-1.92342e-07,-1.23664e-07
900,1.8,0.462038,-0.485921,-0.0238835,-1.93374e-07,-1.45012e-07
950,1.9,0.421086,-0.444974,-0.0238881,-1.63763e-07,-1.40732e-07
1000,2,0.375766,-0.399658,-0.0238926,-1.57247e-07,-1.34957e-07
1050,2.1,0.331102,-0.354998,-0.0238965,-1.52916e-07,-1.32918e-07
1100,2.2,0.289536,-0.313435,-0.0238996,-1.40666e-07,-1.32748e-07
1150,2.3,0.252578,-0.27648,-0.0239019,-1.73845e-07,-1.134e-07
1200,2.4,0.220397,-0.244301,-0.0239038,-2.08133e-07,-1.02369e-07
1250,2.5,0.192767,-0.216672,-0.0239051,-2.25078e-07,-1.14075e-07
1300,2.6,0.169565,-0.193471,-0.0239062,-2.33078e-07,-1.22559e-07
1350,2.7,0.15044,-0.174347,-0.0239069,-2.50212e-07,-1.11945e-07
1400,2.8,0.13502,-0.158928,-0.0239075,-2.87349e-07,-1.13292e-07
1450,2.9,0.123227,-0.147135,-0.023908,-3.16286e-07,-1.37361e-07
1500,3,0.114883,-0.138792,-0.0239083,-3.38802e-07,-1.64418e-07
1550,3.1,0.109775,-0.133683,-0.0239085,-3.48349e-07,-1.8678e-07
1600,3.2,0.107741,-0.13165,-0.0239086,-3.58602e-07,-2.44147e-07
1650,3.3,0.10875,-0.132659,-0.0239087,-3.73009e-07,-2.91885e-07
1700,3.4,0.11263,-0.136539,-0.0239085,-4.04745e-07,-2.64686e-07
1750,3.5,0.119613,-0.143521,-0.0239084,-4.0287e-07,-2.46531e-07
1800,3.6,0.129611,-0.15352,-0.0239081,-4.06747e-07,-2.37428e-07
1850,3.7,0.142585,-0.166493,-0.0239076,-3.80062e-07,-2.21986e-07
1900,3.8,0.1588,-0.182707,-0.0239071,-3.06069e-07,-1.8996e-07
1950,3.9,0.177625,-0.201531,-0.0239065,-2.65011e-07,-2.0818e-07
2000,4,0.198793,-0.222699,-0.0239057,-2.35605e-07,-2.27936e-07
2050,4.1,0.222716,-0.24662,-0.0239047,-2.25625e-07,-2.14803e-07
2100,4.2,0.249828,-0.273731,-0.0239035,-2.75345e-07,-2.07619e-07
2150,4.3,0.280686,-0.304589,-0.0239023,-2.55259e-07,-2.32848e-07
2200,4.4,0.3147,-0.338601,-0.0239008,-3.02967e-07,-2.39059e-07
2250,4.5,0.349731,-0.37363,-0.0238994,-2.77758e-07,-2.98579e-07
