frame,median_sep,dense_core_sep
265,0.9163,0.8051
266,0.9384,0.8192
267,0.9556,0.8285
268,0.9686,0.8327
269,0.9771,0.8319
270,0.9813,0.8269
271,0.9828,0.8180
272,0.9797,0.8041
273,0.9721,0.7862
274,0.9608,0.7641
275,0.9453,0.7377
276,0.9265,0.7066
277,0.9042,0.6707
278,0.8781,0.6293
279,0.8461,0.5835
280,0.8096,0.5319
281,0.7704,0.4738
282,0.7298,0.4083
283,0.6873,0.3348
284,0.6436,0.2548
285,0.6044,0.1736
286,0.5776,0.1031
287,0.5704,0.0674
288,0.5833,0.0758
289,0.6014,0.1023
290,0.6194,0.1287
291,0.6371,0.1530
292,0.6539,0.1754
293,0.6665,0.1940
294,0.6778,0.2057
295,0.6894,0.2114
296,0.7024,0.2124
297,0.7141,0.2110
298,0.7267,0.2112
299,0.7378,0.2151
300,0.7442,0.2197
301,0.7458,0.2221
302,0.7440,0.2217
303,0.7409,0.2176
304,0.7399,0.2135
305,0.7415,0.2101
306,0.7437,0.2089
307,0.7455,0.2092
308,0.7438,0.2098
309,0.7406,0.2089
310,0.7372,0.2061
311,0.7324,0.2018
312,0.7289,0.1979
313,0.7261,0.1957
314,0.7229,0.1939
315,0.7198,0.1936
316,0.7169,0.1929
317,0.7140,0.1925
318,0.7106,0.1914
319,0.7085,0.1910
320,0.7064,0.1914
321,0.7039,0.1918
322,0.7003,0.1920
323,0.6978,0.1924
324,0.6945,0.1920
325,0.6907,0.1902
326,0.6876,0.1892
327,0.6821,0.1875
328,0.6785,0.1870
329,0.6745,0.1861
330,0.6712,0.1856
331,0.6675,0.1849
332,0.6639,0.1854
333,0.6619,0.1860
334,0.6593,0.1873
335,0.6588,0.1885
336,0.6583,0.1906
337,0.6570,0.1919
338,0.6561,0.1936
339,0.6549,0.1945
340,0.6545,0.1951
341,0.6541,0.1963
342,0.6530,0.1970
343,0.6522,0.1967
344,0.6521,0.1965
345,0.6510,0.1957
346,0.6500,0.1950
347,0.6490,0.1937
348,0.6474,0.1918
349,0.6457,0.1898
350,0.6447,0.1889
351,0.6438,0.1884
352,0.6425,0.1877
353,0.6413,0.1867
354,0.6399,0.1859
355,0.6389,0.1856
356,0.6369,0.1847
357,0.6362,0.1841
358,0.6356,0.1840
359,0.6363,0.1851
360,0.6353,0.1859
361,0.6337,0.1862
362,0.6319,0.1869
363,0.6292,0.1874
364,0.6267,0.1882
365,0.6247,0.1897
366,0.6235,0.1917
367,0.6232,0.1933
368,0.6238,0.1956
369,0.6254,0.1976
370,0.6269,0.1993
371,0.6279,0.2003
372,0.6284,0.2002
373,0.6281,0.1997
374,0.6283,0.1985
375,0.6283,0.1974
376,0.6284,0.1967
377,0.6284,0.1958
378,0.6286,0.1958
379,0.6299,0.1961
380,0.6312,0.1968
381,0.6329,0.1975
382,0.6351,0.1982
383,0.6361,0.1977
384,0.6368,0.1967
385,0.6382,0.1958
