step,time,kinetic,potential,total,Px,Py
4050,8.1,0.327846,-0.347532,-0.0196856,-0.000690375,-2.7277e-06
4100,8.2,0.339542,-0.359235,-0.0196933,-0.00070419,-4.37067e-05
4150,8.3,0.347401,-0.36704,-0.0196383,-0.000717998,-6.09684e-05
4200,8.4,0.350694,-0.370305,-0.0196106,-0.000683901,-6.37115e-05
4250,8.5,0.349322,-0.368934,-0.0196123,-0.000663418,-5.41575e-05
4300,8.6,0.343398,-0.362992,-0.0195935,-0.0006254,-6.65341e-05
4350,8.7,0.332967,-0.352585,-0.0196178,-0.00059565,-4.79821e-05
4400,8.8,0.319165,-0.33875,-0.0195854,-0.000574048,-6.40335e-05
4450,8.9,0.303015,-0.322605,-0.0195897,-0.000559237,-6.27137e-05
4500,9,0.285773,-0.305362,-0.0195891,-0.000563899,-7.2035e-05
4550,9.1,0.268347,-0.287941,-0.0195947,-0.000546625,-6.2578e-05
4600,9.2,0.251606,-0.271216,-0.0196102,-0.000521482,-3.82915e-05
4650,9.3,0.236511,-0.256123,-0.0196112,-0.000505753,-2.1475e-05
4700,9.4,0.223464,-0.243073,-0.0196087,-0.0004739,-2.34354e-05
4750,9.5,0.212491,-0.232115,-0.0196248,-0.000469028,-5.54313e-05
4800,9.6,0.203587,-0.223226,-0.0196389,-0.000430878,-6.50905e-05
4850,9.7,0.196618,-0.216252,-0.0196341,-0.00039372,-6.60706e-05
4900,9.8,0.191427,-0.211059,-0.0196318,-0.00033567,-9.80983e-05
4950,9.9,0.188054,-0.207691,-0.0196362,-0.000283806,-0.000101812
5000,10,0.186222,-0.205831,-0.0196089,-0.000204226,-9.53951e-05
5050,10.1,0.185653,-0.205238,-0.0195845,-0.000177483,-9.79015e-05
5100,10.2,0.186078,-0.205682,-0.0196039,-0.000170388,-7.68205e-05
5150,10.3,0.1874,-0.207008,-0.0196075,-0.00018563,-3.05716e-05
5200,10.4,0.190102,-0.209693,-0.0195906,-0.00018388,-1.69463e-05
5250,10.5,0.194292,-0.213887,-0.0195945,-0.000166552,-4.46362e-06
5300,10.6,0.199852,-0.219432,-0.0195794,-0.000165597,3.28317e-06
5350,10.7,0.206552,-0.226125,-0.0195732,-0.000165275,1.77908e-05
5400,10.8,0.214063,-0.233642,-0.0195793,-0.000156899,2.0485e-05
5450,10.9,0.222165,-0.241734,-0.0195682,-0.000123975,5.12697e-05
5500,11,0.230336,-0.24988,-0.019544,-9.60214e-05,7.55509e-05
5550,11.1,0.238013,-0.257562,-0.0195486,-0.000115782,6.92686e-05
5600,11.2,0.244973,-0.264529,-0.0195562,-0.00014584,5.50423e-05
5650,11.3,0.251264,-0.270822,-0.0195575,-0.000147159,4.59922e-05
5700,11.4,0.25701,-0.276538,-0.0195278,-0.000131232,3.2747e-05
5750,11.5,0.262354,-0.281851,-0.0194967,-0.000139162,4.60238e-05
5800,11.6,0.267159,-0.28661,-0.0194504,-0.000165108,8.53114e-05
5850,11.7,0.271077,-0.290499,-0.0194221,-0.000163803,0.000136685
5900,11.8,0.274101,-0.293515,-0.0194143,-0.00016929,0.000136964
5950,11.9,0.276398,-0.295792,-0.0193946,-0.000174121,0.000131063
6000,12,0.277861,-0.297243,-0.0193818,-0.000210718,0.000113337
6050,12.1,0.278411,-0.297773,-0.0193627,-0.000250517,8.16772e-05
6100,12.2,0.277901,-0.297252,-0.0193509,-0.000298732,6.08975e-05
6150,12.3,0.27593,-0.295258,-0.0193279,-0.000334545,3.0718e-05
6200,12.4,0.272516,-0.291832,-0.0193153,-0.000320643,2.72738e-05
6250,12.5,0.267745,-0.287047,-0.0193027,-0.000289913,5.38034e-07
6300,12.6,0.262366,-0.281671,-0.0193051,-0.000266512,-2.28572e-05
6350,12.7,0.257354,-0.276658,-0.0193045,-0.000271715,-8.41535e-05
6400,12.8,0.252768,-0.272067,-0.0192982,-0.000246367,-0.000146099
6450,12.9,0.248378,-0.267675,-0.0192962,-0.000196251,-0.000170854
6500,13,0.24413,-0.263404,-0.0192742,-0.000166628,-0.000168846
6550,13.1,0.239852,-0.259087,-0.0192349,-0.000146895,-0.000195149
6600,13.2,0.23547,-0.254679,-0.0192098,-0.000147062,-0.000232592
6650,13.3,0.231203,-0.250393,-0.0191906,-0.000126479,-0.000247437
6700,13.4,0.227346,-0.246513,-0.019167,-0.000137888,-0.000243359
6750,13.5,0.224029,-0.243186,-0.0191565,-0.000143883,-0.0002809
6800,13.6,0.221483,-0.240624,-0.0191412,-0.000153714,-0.000308885
6850,13.7,0.220096,-0.239215,-0.0191191,-0.000145866,-0.000318436
6900,13.8,0.220176,-0.239288,-0.019112,-0.000154759,-0.000280218
6950,13.9,0.221685,-0.2408,-0.0191145,-0.000161963,-0.000277319
7000,14,0.22423,-0.243348,-0.0191179,-0.000171607,-0.000276451
7050,14.1,0.227447,-0.24656,-0.0191129,-0.000193248,-0.000248495
7100,14.2,0.231308,-0.250424,-0.0191157,-0.000223738,-0.000230301
7150,14.3,0.235971,-0.255077,-0.0191054,-0.000248681,-0.000244394
7200,14.4,0.241401,-0.260485,-0.0190833,-0.000250195,-0.000277287
7250,14.5,0.246531,-0.265611,-0.0190805,-0.000232699,-0.000248384
7300,14.6,0.25096,-0.270081,-0.0191203,-0.000237147,-0.000241385
7350,14.7,0.254375,-0.273512,-0.0191372,-0.000243637,-0.000217077
7400,14.8,0.256885,-0.276002,-0.0191167,-0.000215233,-0.00019374
7450,14.9,0.25849,-0.2776,-0.0191102,-0.000241882,-0.000161829
7500,15,0.258987,-0.278083,-0.0190962,-0.000243979,-0.000159614
7550,15.1,0.258439,-0.277506,-0.0190666,-0.000209733,-0.000124241
7600,15.2,0.256996,-0.276049,-0.019053,-0.000204486,-9.43264e-05
7650,15.3,0.254599,-0.273639,-0.0190402,-0.000225405,-7.57034e-05
7700,15.4,0.251716,-0.270739,-0.0190233,-0.000228972,-7.74557e-05
7750,15.5,0.248482,-0.267507,-0.0190259,-0.000240376,-0.000126536
7800,15.6,0.245142,-0.264154,-0.0190123,-0.000253602,-0.000135525
7850,15.7,0.242085,-0.261083,-0.0189978,-0.000263217,-0.000129553
7900,15.8,0.239074,-0.258067,-0.0189921,-0.000282721,-0.000131721
7950,15.9,0.236206,-0.2552,-0.0189941,-0.000282862,-0.000119164
8000,16,0.234005,-0.252985,-0.0189797,-0.000286031,-0.000103205
8050,16.1,0.232698,-0.251695,-0.0189976,-0.000302862,-8.24042e-05
8100,16.2,0.231961,-0.250971,-0.01901,-0.000293128,-7.59883e-05
8150,16.3,0.231177,-0.250193,-0.0190164,-0.00028831,-6.57844e-05
8200,16.4,0.230537,-0.249551,-0.0190143,-0.000302396,-7.85628e-05
8250,16.5,0.230309,-0.249328,-0.0190186,-0.000320104,-9.00062e-05
8300,16.6,0.230815,-0.249827,-0.0190121,-0.000357435,-0.000120716
8350,16.7,0.232332,-0.251349,-0.0190172,-0.000356955,-0.000141979
8400,16.8,0.23491,-0.253948,-0.0190388,-0.000320606,-0.000148612
8450,16.9,0.238113,-0.257152,-0.0190395,-0.000320224,-0.000143675
8500,17,0.241298,-0.260331,-0.0190336,-0.000353919,-0.000157346
8550,17.1,0.244666,-0.263698,-0.0190317,-0.000366112,-0.000161806
8600,17.2,0.247994,-0.267016,-0.0190215,-0.000385372,-0.000145465
8650,17.3,0.250779,-0.269778,-0.0189997,-0.00041461,-0.000148816
8700,17.4,0.252941,-0.271939,-0.0189978,-0.000419088,-0.000148276
8750,17.5,0.25431,-0.273302,-0.0189924,-0.000436936,-0.000141945
