step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
0,0,0.14374906748043,-0.287817453790368,-0.144068386309937,-7.19591758142207e-16,6.49450653845973e-16,1.45852297253612e-16,0.0140112263918621,0.00557263653935498,-0.00749041491195065
40,0.2,0.143769639952129,-0.287838044382626,-0.144068404430497,2.03802644006866e-08,1.18150154583714e-09,3.71554362095712e-09,0.0140108151409161,0.00557311316812091,-0.00748995270529724
80,0.4,0.144051404795337,-0.288119904709575,-0.144068499914237,4.08114337061222e-08,2.7282048558491e-09,6.85912166504383e-09,0.0140104025354026,0.0055735892867045,-0.00748948851892095
120,0.6,0.144182592580855,-0.288251249493811,-0.144068656912956,6.13211386322592e-08,4.67482861458073e-09,9.27768481034626e-09,0.0140099889330377,0.00557406582632635,-0.00748902243585551
160,0.8,0.144408642982069,-0.288477011914816,-0.144068368932748,8.18966201383866e-08,7.01390312131823e-09,1.09107051927309e-08,0.0140095720087852,0.00557454375517834,-0.00748855378375835
200,1,0.144628224281996,-0.288696672036371,-0.144068447754374,1.02514788715582e-07,9.68776183109778e-09,1.18757961943929e-08,0.0140091518888973,0.00557502230393118,-0.00748808246082515
240,1.2,0.144798236493928,-0.288866665394561,-0.144068428900633,1.23192229880545e-07,1.27409575517803e-08,1.20507507145567e-08,0.0140087256493093,0.00557550485009813,-0.00748760785451724
280,1.4,0.144931596352897,-0.28899999435525,-0.144068398002352,1.43942254905382e-07,1.62403771169996e-08,1.16215885023058e-08,0.0140082993438322,0.00557598918076513,-0.00748713125247525
320,1.6,0.145089608034541,-0.289158032842225,-0.144068424807684,1.64880667360604e-07,2.01070709114765e-08,1.04471222708434e-08,0.0140078715078529,0.00557647460797983,-0.00748665281408792
360,1.8,0.145286109545142,-0.289354593901783,-0.144068484356641,1.85915679783692e-07,2.45079491670674e-08,8.4449332575997e-09,0.0140074425652215,0.00557695973436701,-0.00748617103167979
400,2,0.145366646981985,-0.289435081827115,-0.144068434845131,2.07114131422703e-07,2.94911044175248e-08,5.70473740197763e-09,0.0140070112216229,0.00557744664720066,-0.00748568398954386
440,2.2,0.145586640570739,-0.289655145841719,-0.14406850527098,2.28374377788277e-07,3.48739995882175e-08,2.1827094704688e-09,0.0140065756977477,0.00557793667847245,-0.00748519412999844
480,2.4,0.145781900019407,-0.289850313904524,-0.144068413885117,2.49738187407946e-07,4.04416795063162e-08,-1.88076152861285e-09,0.0140061377245922,0.00557842770985203,-0.00748469921981602
520,2.6,0.145657253037338,-0.289725672015633,-0.144068418978295,2.71181709371248e-07,4.62948780822987e-08,-6.60373517278939e-09,0.0140056954741706,0.00557891997356719,-0.00748420029587892
560,2.8,0.145678596451043,-0.289746997002261,-0.144068400551219,2.92631393066645e-07,5.25948170595179e-08,-1.2192598487017e-08,0.0140052483412785,0.00557941335242658,-0.00748369971162913
600,3,0.145570993301333,-0.289639432102691,-0.144068438801358,3.14136058176184e-07,5.90181526710783e-08,-1.92249085835658e-08,0.0140048008128875,0.00557990453970714,-0.00748319745070294
640,3.2,0.145638924194468,-0.28970734651243,-0.144068422317962,3.35781173291217e-07,6.5492317394988e-08,-2.75527820768856e-08,0.0140043491534729,0.00558039581852464,-0.00748269003209212
680,3.4,0.145622520929209,-0.289691116486936,-0.144068595557727,3.57536202935009e-07,7.23651307847064e-08,-3.6675059868896e-08,0.014003893692385,0.0055808886428649,-0.00748218041507934
720,3.6,0.145409577060144,-0.28947815962181,-0.144068582561666,3.79397041176173e-07,7.96188831881837e-08,-4.66398367608505e-08,0.0140034362635038,0.00558138232429421,-0.00748166923706569
760,3.8,0.145250098333841,-0.289318609308593,-0.144068510974752,4.006769162641e-07,8.72155046455019e-08,-5.76452829286562e-08,0.0140029697508742,0.00558187063176256,-0.00748115731149043
800,4,0.145092886538281,-0.28916135434804,-0.144068467809759,4.21487865743289e-07,9.50411661447439e-08,-6.90984276423409e-08,0.0140024950486128,0.00558234829855655,-0.00748064619818497
