step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.118493,-0.0239058,4.96022e-18,7.80626e-18
50,0.1,0.0960255,-0.119931,-0.0239057,3.72568e-10,-2.35873e-10
100,0.2,0.10066,-0.124565,-0.0239056,6.57667e-10,-1.90492e-10
150,0.3,0.108509,-0.132414,-0.0239053,1.06946e-09,-2.00792e-11
200,0.4,0.119686,-0.143591,-0.0239049,1.18854e-09,-9.22443e-12
250,0.5,0.134419,-0.158323,-0.0239044,1.07054e-09,3.44152e-10
300,0.6,0.152965,-0.176868,-0.0239037,1.34149e-09,4.89793e-10
350,0.7,0.175667,-0.199569,-0.0239028,1.49917e-09,2.47411e-10
400,0.8,0.202735,-0.226637,-0.0239016,2.33693e-09,5.94934e-11
450,0.9,0.234623,-0.258523,-0.0239,3.14341e-09,3.3991e-10
500,1,0.271632,-0.29553,-0.0238979,3.44808e-09,1.00442e-09
550,1.1,0.313892,-0.337788,-0.0238953,3.62299e-09,1.32122e-09
600,1.2,0.360786,-0.384678,-0.0238919,3.16564e-09,1.36701e-09
650,1.3,0.409945,-0.433834,-0.023888,2.61758e-09,1.00599e-09
700,1.4,0.455455,-0.479339,-0.0238839,2.52526e-09,9.52399e-10
750,1.5,0.488533,-0.512414,-0.0238803,2.48453e-09,1.43302e-09
800,1.6,0.50163,-0.525508,-0.0238786,2.43055e-09,1.24626e-09
850,1.7,0.491464,-0.515343,-0.0238799,3.18413e-09,1.80013e-09
900,1.8,0.462038,-0.485921,-0.0238835,3.29083e-09,2.21881e-09
950,1.9,0.421086,-0.444974,-0.0238881,2.77455e-09,2.07803e-09
1000,2,0.375766,-0.399658,-0.0238926,2.70907e-09,2.12147e-09
1050,2.1,0.331102,-0.354998,-0.0238965,2.65757e-09,2.04562e-09
1100,2.2,0.289536,-0.313436,-0.0238996,2.36223e-09,2.01709e-09
1150,2.3,0.252578,-0.27648,-0.023902,2.45402e-09,1.87251e-09
1200,2.4,0.220397,-0.244301,-0.0239038,2.91365e-09,1.7229e-09
