step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
50,0.1,0.0959769,-0.116232,-0.0202554,-1.49097e-08,1.20059e-08
100,0.2,0.100426,-0.120655,-0.0202288,-4.48801e-08,1.18406e-08
150,0.3,0.108009,-0.128191,-0.0201816,-7.08675e-08,2.4464e-09
200,0.4,0.118855,-0.138965,-0.0201098,-8.37195e-08,5.27311e-10
250,0.5,0.133148,-0.153161,-0.0200125,-8.63234e-08,-1.91993e-08
300,0.6,0.151133,-0.171016,-0.0198834,-9.73651e-08,-1.64166e-08
350,0.7,0.173112,-0.192824,-0.0197118,-1.06001e-07,4.65506e-09
400,0.8,0.199434,-0.218921,-0.0194874,-1.51522e-07,-1.42105e-08
450,0.9,0.230474,-0.249665,-0.0191911,-1.85171e-07,-5.24682e-08
500,1,0.266563,-0.285353,-0.0187906,-1.8855e-07,-1.03608e-07
550,1.1,0.307749,-0.326014,-0.0182652,-1.63623e-07,-1.3158e-07
600,1.2,0.353346,-0.370939,-0.0175927,-1.24875e-07,-1.4446e-07
650,1.3,0.401111,-0.417865,-0.0167542,-5.9875e-08,-1.51367e-07
700,1.4,0.445987,-0.461873,-0.0158852,-7.27453e-08,-1.0421e-07
750,1.5,0.480046,-0.495244,-0.0151983,-5.93946e-08,-1.08873e-07
800,1.6,0.494933,-0.509911,-0.0149782,-5.44452e-08,-8.11332e-08
850,1.7,0.486877,-0.502196,-0.0153189,-1.21963e-07,-1.22008e-07
900,1.8,0.459313,-0.47535,-0.016037,-1.06893e-07,-1.57205e-07
950,1.9,0.419707,-0.436596,-0.0168891,-8.39376e-08,-1.58408e-07
1000,2,0.375284,-0.392984,-0.0177,-1.04405e-07,-1.34894e-07
1050,2.1,0.331065,-0.349473,-0.0184088,-1.10481e-07,-1.37604e-07
1100,2.2,0.289863,-0.308845,-0.0189819,-1.22473e-07,-1.14874e-07
1150,2.3,0.252937,-0.27236,-0.0194227,-1.33998e-07,-1.01508e-07
1200,2.4,0.220653,-0.240414,-0.0197613,-1.4225e-07,-8.5265e-08
1250,2.5,0.192946,-0.212963,-0.0200162,-1.55454e-07,-7.32787e-08
1300,2.6,0.169569,-0.189777,-0.020208,-1.64412e-07,-7.79013e-08
1350,2.7,0.150239,-0.17059,-0.0203503,-2.01743e-07,-6.91061e-08
1400,2.8,0.134685,-0.155138,-0.0204529,-2.55669e-07,-6.835e-08
1450,2.9,0.122667,-0.143192,-0.0205247,-2.94565e-07,-7.10862e-08
1500,3,0.113993,-0.134563,-0.0205704,-3.08167e-07,-8.51144e-08
1550,3.1,0.108512,-0.129106,-0.0205936,-3.13193e-07,-1.03179e-07
1600,3.2,0.106124,-0.126722,-0.0205979,-3.48858e-07,-1.27026e-07
1650,3.3,0.106772,-0.127352,-0.0205805,-3.70504e-07,-1.45384e-07
1700,3.4,0.11041,-0.130955,-0.0205452,-3.62681e-07,-1.72914e-07
1750,3.5,0.117024,-0.137517,-0.020493,-4.00109e-07,-2.18806e-07
1800,3.6,0.126577,-0.146999,-0.0204217,-4.02025e-07,-2.45693e-07
1850,3.7,0.138995,-0.159325,-0.0203304,-4.01156e-07,-2.58308e-07
1900,3.8,0.154182,-0.174404,-0.0202222,-3.41044e-07,-2.51471e-07
1950,3.9,0.172122,-0.192211,-0.0200894,-2.43866e-07,-2.07092e-07
2000,4,0.192875,-0.212803,-0.0199278,-1.89235e-07,-1.96621e-07
2050,4.1,0.216543,-0.236273,-0.0197302,-1.59308e-07,-1.76936e-07
2100,4.2,0.243184,-0.262689,-0.0195052,-1.80299e-07,-1.61875e-07
2150,4.3,0.27268,-0.291916,-0.0192364,-2.33449e-07,-1.98331e-07
2200,4.4,0.304577,-0.323507,-0.0189303,-2.65978e-07,-2.19482e-07
2250,4.5,0.337096,-0.355704,-0.0186075,-2.64789e-07,-2.06742e-07
2300,4.6,0.367248,-0.385527,-0.0182787,-2.73627e-07,-1.82514e-07
2350,4.7,0.393218,-0.411202,-0.0179842,-2.97132e-07,-1.02574e-07
2400,4.8,0.412709,-0.430494,-0.0177842,-2.70072e-07,-1.42916e-07
2450,4.9,0.423687,-0.441343,-0.0176567,-1.9337e-07,-1.58293e-07
2500,5,0.424699,-0.44233,-0.0176304,-2.19164e-07,-1.46195e-07
2550,5.1,0.414747,-0.432498,-0.0177505,-2.00892e-07,-1.76439e-07
2600,5.2,0.394759,-0.412809,-0.0180501,-1.85815e-07,-1.84258e-07
2650,5.3,0.367431,-0.385885,-0.018454,-2.14581e-07,-1.61857e-07
2700,5.4,0.336444,-0.355321,-0.0188773,-2.06504e-07,-1.70685e-07
2750,5.5,0.30491,-0.32418,-0.0192696,-1.83793e-07,-1.75983e-07
2800,5.6,0.274736,-0.294356,-0.0196197,-2.23361e-07,-1.74705e-07
2850,5.7,0.247013,-0.266919,-0.0199067,-2.71599e-07,-2.32184e-07
2900,5.8,0.222364,-0.242492,-0.0201276,-2.91196e-07,-2.48834e-07
2950,5.9,0.201049,-0.221343,-0.0202945,-2.97071e-07,-2.62035e-07
3000,6,0.183013,-0.203436,-0.0204227,-3.01479e-07,-2.74879e-07
3050,6.1,0.168056,-0.188575,-0.0205184,-2.95293e-07,-3.10497e-07
3100,6.2,0.15606,-0.176649,-0.0205887,-2.99499e-07,-3.33985e-07
3150,6.3,0.14693,-0.167567,-0.0206371,-2.60282e-07,-3.68291e-07
3200,6.4,0.140443,-0.161109,-0.0206656,-2.70381e-07,-3.67047e-07
3250,6.5,0.136429,-0.157109,-0.0206794,-3.09023e-07,-3.5132e-07
3300,6.6,0.134766,-0.155447,-0.020681,-3.63428e-07,-3.31887e-07
3350,6.7,0.13541,-0.156075,-0.0206648,-4.11698e-07,-2.96401e-07
3400,6.8,0.138283,-0.158922,-0.020639,-4.52316e-07,-3.17463e-07
3450,6.9,0.143522,-0.164116,-0.0205949,-4.55374e-07,-3.08912e-07
3500,7,0.151188,-0.171724,-0.0205361,-4.26387e-07,-2.78761e-07
3550,7.1,0.16136,-0.181822,-0.0204618,-4.22643e-07,-2.32566e-07
3600,7.2,0.17424,-0.194608,-0.0203679,-4.27256e-07,-1.73502e-07
3650,7.3,0.189868,-0.210125,-0.0202577,-4.3188e-07,-1.40341e-07
3700,7.4,0.208017,-0.228149,-0.0201322,-4.1403e-07,-9.19233e-08
3750,7.5,0.227972,-0.247971,-0.0199994,-3.9537e-07,-5.58527e-08
3800,7.6,0.24854,-0.268387,-0.019847,-3.47911e-07,-1.03365e-08
3850,7.7,0.268932,-0.288628,-0.0196962,-3.12533e-07,-4.07337e-09
3900,7.8,0.288907,-0.308471,-0.0195642,-3.26898e-07,-4.77367e-08
3950,7.9,0.307834,-0.32728,-0.0194457,-2.98281e-07,-1.04955e-07
4000,8,0.324722,-0.344054,-0.0193313,-2.59385e-07,-1.28926e-07
4050,8.1,0.339073,-0.358321,-0.0192474,-2.42689e-07,-1.24379e-07
4100,8.2,0.349772,-0.36898,-0.0192082,-1.96496e-07,-1.16151e-07
4150,8.3,0.355663,-0.374863,-0.0192009,-1.49531e-07,-3.61106e-08
4200,8.4,0.356088,-0.37532,-0.0192316,-1.44142e-07,3.25389e-08
4250,8.5,0.351218,-0.37054,-0.0193211,-1.91436e-07,4.15218e-08
4300,8.6,0.341672,-0.361102,-0.0194305,-1.91373e-07,-3.73725e-09
