step,time,sep
1435,28.7,2.19169
1440,28.8,2.20073
1445,28.9,2.20977
1450,29,2.21892
1455,29.1,2.22818
1460,29.2,2.23751
1465,29.3,2.24693
1470,29.4,2.25634
1475,29.5,2.26561
1480,29.6,2.27462
1485,29.7,2.28338
1490,29.8,2.29189
1495,29.9,2.3002
1500,30,2.3083
1505,30.1,2.31619
1510,30.2,2.32394
1515,30.3,2.33161
1520,30.4,2.33931
1525,30.5,2.3471
1530,30.6,2.35507
1535,30.7,2.36323
1540,30.8,2.37155
1545,30.9,2.37997
1550,31,2.38833
1555,31.1,2.39655
1560,31.2,2.40472
1565,31.3,2.41287
1570,31.4,2.42102
1575,31.5,2.42922
1580,31.6,2.43755
1585,31.7,2.44602
1590,31.8,2.45461
1595,31.9,2.46327
1600,32,2.47197
1605,32.1,2.48075
1610,32.2,2.48962
1615,32.3,2.49844
1620,32.4,2.50698
1625,32.5,2.51505
1630,32.6,2.5226
1635,32.7,2.52975
1640,32.8,2.53661
1645,32.9,2.54328
1650,33,2.54984
1655,33.1,2.55639
1660,33.2,2.56299
1665,33.3,2.5696
1670,33.4,2.57625
1675,33.5,2.58297
1680,33.6,2.58979
1685,33.7,2.59662
1690,33.8,2.60335
1695,33.9,2.60991
1700,34,2.61626
1705,34.1,2.62241
1710,34.2,2.62839
1715,34.3,2.63419
1720,34.4,2.63987
1725,34.5,2.64547
1730,34.6,2.65099
1735,34.7,2.65646
1740,34.8,2.66187
1745,34.9,2.66733
1750,35,2.67285
1755,35.1,2.67843
1760,35.2,2.6841
1765,35.3,2.68989
1770,35.4,2.69579
1775,35.5,2.70173
1780,35.6,2.7077
1785,35.7,2.71366
1790,35.8,2.71954
1795,35.9,2.72531
1800,36,2.73102
1805,36.1,2.73678
1810,36.2,2.7426
1815,36.3,2.74845
1820,36.4,2.75428
1825,36.5,2.76005
1830,36.6,2.76573
1835,36.7,2.77135
1840,36.8,2.77701
1845,36.9,2.7828
1850,37,2.78869
1855,37.1,2.79459
1860,37.2,2.8004
1865,37.3,2.80599
1870,37.4,2.81132
1875,37.5,2.81639
1880,37.6,2.82122
1885,37.7,2.82588
1890,37.8,2.83039
1895,37.9,2.83479
1900,38,2.83908
1905,38.1,2.84323
1910,38.2,2.84724
1915,38.3,2.85109
1920,38.4,2.85477
1925,38.5,2.85839
1930,38.6,2.86208
1935,38.7,2.86602
1940,38.8,2.87028
1945,38.9,2.87482
1950,39,2.87954
1955,39.1,2.88435
1960,39.2,2.88919
1965,39.3,2.89405
1970,39.4,2.89895
1975,39.5,2.90389
1980,39.6,2.90887
1985,39.7,2.9139
1990,39.8,2.91902
1995,39.9,2.92428
2000,40,2.9297
2005,40.1,2.93532
2010,40.2,2.94118
2015,40.3,2.94719
2020,40.4,2.95323
2025,40.5,2.9593
2030,40.6,2.96539
2035,40.7,2.97149
2040,40.8,2.97763
2045,40.9,2.98388
2050,41,2.99023
2055,41.1,2.99671
2060,41.2,3.00336
2065,41.3,3.01019
2070,41.4,3.01718
2075,41.5,3.02426
2080,41.6,3.03134
2085,41.7,3.03832
2090,41.8,3.0451
2095,41.9,3.05169
2100,42,3.05816
2105,42.1,3.06452
2110,42.2,3.07079
2115,42.3,3.07698
2120,42.4,3.08321
2125,42.5,3.08962
2130,42.6,3.09623
2135,42.7,3.10301
2140,42.8,3.10992
2145,42.9,3.11686
2150,43,3.12378
2155,43.1,3.13065
2160,43.2,3.13749
2165,43.3,3.14431
2170,43.4,3.15113
2175,43.5,3.15805
2180,43.6,3.16513
2185,43.7,3.17233
2190,43.8,3.17949
2195,43.9,3.18649
2200,44,3.19326
2205,44.1,3.19974
2210,44.2,3.20597
2215,44.3,3.21194
2220,44.4,3.21778
2225,44.5,3.22354
2230,44.6,3.22925
2235,44.7,3.235
2240,44.8,3.24076
2245,44.9,3.24652
2250,45,3.25228
2255,45.1,3.25807
2260,45.2,3.26383
2265,45.3,3.26952
2270,45.4,3.27511
2275,45.5,3.28058
2280,45.6,3.28595
2285,45.7,3.29122
2290,45.8,3.2964
2295,45.9,3.30149
2300,46,3.3065
2305,46.1,3.31138
2310,46.2,3.3161
2315,46.3,3.32059
2320,46.4,3.32484
2325,46.5,3.32887
2330,46.6,3.33268
2335,46.7,3.33633
2340,46.8,3.33986
2345,46.9,3.3433
2350,47,3.34666
2355,47.1,3.34998
2360,47.2,3.35323
2365,47.3,3.3564
2370,47.4,3.3595
2375,47.5,3.36254
2380,47.6,3.36554
2385,47.7,3.36844
2390,47.8,3.37117
2395,47.9,3.37368
2400,48,3.3759
2405,48.1,3.37784
2410,48.2,3.37952
2415,48.3,3.3809
2420,48.4,3.382
2425,48.5,3.38291
2430,48.6,3.38376
2435,48.7,3.38461
2440,48.8,3.38545
2445,48.9,3.38627
2450,49,3.38698
2455,49.1,3.38752
2460,49.2,3.38794
2465,49.3,3.38835
2470,49.4,3.38877
2475,49.5,3.38915
2480,49.6,3.38946
2485,49.7,3.38974
2490,49.8,3.38997
2495,49.9,3.39007
2500,50,3.39
2505,50.1,3.38977
2510,50.2,3.38941
2515,50.3,3.38893
2520,50.4,3.38836
2525,50.5,3.38774
2530,50.6,3.38708
2535,50.7,3.38643
2540,50.8,3.3858
2545,50.9,3.3852
2550,51,3.38459
2555,51.1,3.38393
2560,51.2,3.38316
2565,51.3,3.38229
2570,51.4,3.38138
2575,51.5,3.38041
2580,51.6,3.3793
2585,51.7,3.37793
2590,51.8,3.37627
2595,51.9,3.37429
2600,52,3.37199
2605,52.1,3.36946
2610,52.2,3.36677
2615,52.3,3.36401
2620,52.4,3.36123
2625,52.5,3.35849
2630,52.6,3.35586
2635,52.7,3.35334
2640,52.8,3.3509
2645,52.9,3.34852
2650,53,3.34618
2655,53.1,3.34388
2660,53.2,3.34173
2665,53.3,3.33976
2670,53.4,3.33787
2675,53.5,3.33596
2680,53.6,3.33396
2685,53.7,3.33186
2690,53.8,3.32972
2695,53.9,3.32763
2700,54,3.32571
2705,54.1,3.32401
2710,54.2,3.32254
2715,54.3,3.32122
2720,54.4,3.31999
2725,54.5,3.31888
2730,54.6,3.31787
2735,54.7,3.3169
2740,54.8,3.31594
2745,54.9,3.31502
2750,55,3.31411
2755,55.1,3.31316
2760,55.2,3.31214
2765,55.3,3.31104
2770,55.4,3.30989
2775,55.5,3.30874
2780,55.6,3.30764
2785,55.7,3.30667
2790,55.8,3.30585
2795,55.9,3.30512
2800,56,3.30453
2805,56.1,3.3041
2810,56.2,3.30372
2815,56.3,3.30333
2820,56.4,3.30294
2825,56.5,3.30255
2830,56.6,3.30219
2835,56.7,3.30186
2840,56.8,3.30161
2845,56.9,3.30142
2850,57,3.30131
2855,57.1,3.30127
2860,57.2,3.30128
2865,57.3,3.30135
2870,57.4,3.30147
2875,57.5,3.3016
2880,57.6,3.30171
2885,57.7,3.30184
2890,57.8,3.30201
2895,57.9,3.30225
2900,58,3.30253
2905,58.1,3.30276
2910,58.2,3.30282
2915,58.3,3.30269
2920,58.4,3.30238
2925,58.5,3.30191
2930,58.6,3.30133
2935,58.7,3.30068
2940,58.8,3.30004
2945,58.9,3.29942
2950,59,3.29885
2955,59.1,3.29836
2960,59.2,3.29794
2965,59.3,3.29751
2970,59.4,3.29702
2975,59.5,3.29645
2980,59.6,3.29581
2985,59.7,3.29512
2990,59.8,3.2944
2995,59.9,3.29361
3000,60,3.2927
3005,60.1,3.29164
3010,60.2,3.29052
3015,60.3,3.2894
3020,60.4,3.28831
3025,60.5,3.28722
3030,60.6,3.28615
3035,60.7,3.28512
3040,60.8,3.28415
3045,60.9,3.28333
3050,61,3.28271
3055,61.1,3.2823
3060,61.2,3.28217
3065,61.3,3.28237
3070,61.4,3.28295
3075,61.5,3.28387
3080,61.6,3.28507
3085,61.7,3.28641
3090,61.8,3.28777
3095,61.9,3.28908
3100,62,3.29033
3105,62.1,3.2915
3110,62.2,3.29252
3115,62.3,3.29343
3120,62.4,3.29428
3125,62.5,3.29502
3130,62.6,3.29563
3135,62.7,3.29615
3140,62.8,3.29657
3145,62.9,3.29689
3150,63,3.29715
3155,63.1,3.29735
3160,63.2,3.29747
3165,63.3,3.29747
3170,63.4,3.29735
3175,63.5,3.29714
3180,63.6,3.29688
3185,63.7,3.29659
3190,63.8,3.29631
3195,63.9,3.29601
3200,64,3.29574
3205,64.1,3.29559
3210,64.2,3.29555
3215,64.3,3.29561
3220,64.4,3.29573
3225,64.5,3.29586
3230,64.6,3.29591
3235,64.7,3.29582
3240,64.8,3.29557
3245,64.9,3.29517
3250,65,3.29462
3255,65.1,3.29393
3260,65.2,3.2931
3265,65.3,3.29219
3270,65.4,3.29125
3275,65.5,3.29036
3280,65.6,3.28963
3285,65.7,3.28916
3290,65.8,3.28895
3295,65.9,3.28895
3300,66,3.28913
3305,66.1,3.28948
3310,66.2,3.28998
3315,66.3,3.2906
3320,66.4,3.29132
3325,66.5,3.29214
3330,66.6,3.29309
3335,66.7,3.29416
3340,66.8,3.29532
3345,66.9,3.29654
3350,67,3.29774
3355,67.1,3.29888
3360,67.2,3.29998
3365,67.3,3.30109
3370,67.4,3.30227
3375,67.5,3.30349
3380,67.6,3.30469
3385,67.7,3.30579
3390,67.8,3.30679
3395,67.9,3.30769
3400,68,3.30856
3405,68.1,3.30947
3410,68.2,3.31046
3415,68.3,3.31155
3420,68.4,3.31279
3425,68.5,3.31422
3430,68.6,3.31583
3435,68.7,3.31761
3440,68.8,3.31945
3445,68.9,3.32129
3450,69,3.32315
3455,69.1,3.32505
3460,69.2,3.32697
3465,69.3,3.32891
3470,69.4,3.33094
3475,69.5,3.33306
3480,69.6,3.33529
