step,time,sep
1430,14.3,13.1219
1435,14.35,13.1944
1440,14.4,13.267
1445,14.45,13.3396
1450,14.5,13.4121
1455,14.55,13.4847
1460,14.6,13.5572
1465,14.65,13.6297
1470,14.7,13.7022
1475,14.75,13.7747
1480,14.8,13.8472
1485,14.85,13.9197
1490,14.9,13.9922
1495,14.95,14.0647
1500,15,14.1371
1505,15.05,14.2096
1510,15.1,14.282
1515,15.15,14.3545
1520,15.2,14.4269
1525,15.25,14.4993
1530,15.3,14.5717
1535,15.35,14.6441
1540,15.4,14.7165
1545,15.45,14.7889
1550,15.5,14.8613
1555,15.55,14.9336
1560,15.6,15.006
1565,15.65,15.0783
1570,15.7,15.1507
1575,15.75,15.223
1580,15.8,15.2953
1585,15.85,15.3677
1590,15.9,15.44
1595,15.95,15.5123
1600,16,15.5846
1605,16.05,15.6568
1610,16.1,15.7291
1615,16.15,15.8014
1620,16.2,15.8736
1625,16.25,15.9459
1630,16.3,16.0181
1635,16.35,16.0904
1640,16.4,16.1626
1645,16.45,16.2348
1650,16.5,16.307
1655,16.55,16.3792
1660,16.6,16.4514
1665,16.65,16.5236
1670,16.7,16.5957
1675,16.75,16.6679
1680,16.8,16.7401
1685,16.85,16.8122
1690,16.9,16.8844
1695,16.95,16.9565
1700,17,17.0286
1705,17.05,17.1007
1710,17.1,17.1728
1715,17.15,17.2449
1720,17.2,17.317
1725,17.25,17.3891
1730,17.3,17.4612
1735,17.35,17.5333
1740,17.4,17.6053
1745,17.45,17.6774
1750,17.5,17.7494
1755,17.55,17.8215
1760,17.6,17.8935
1765,17.65,17.9655
1770,17.7,18.0375
1775,17.75,18.1095
1780,17.8,18.1815
1785,17.85,18.2535
1790,17.9,18.3255
1795,17.95,18.3975
1800,18,18.4694
