step,time,id,x,y,z,vx,vy,vz
760,3.8,0,-0.217589,-0.781017,-0.585381,0.365609,0.13341,-0.313896
760,3.8,1,0.217589,0.781017,0.585381,-0.365609,-0.13341,0.313896
780,3.9,0,-0.180772,-0.766706,-0.616026,0.37059,0.15276,-0.298875
780,3.9,1,0.180772,0.766706,0.616026,-0.37059,-0.15276,0.298875
800,4,0,-0.143502,-0.750478,-0.645132,0.374644,0.171729,-0.283108
800,4,1,0.143502,0.750478,0.645132,-0.374644,-0.171729,0.283108
820,4.1,0,-0.105874,-0.732374,-0.672624,0.377762,0.190268,-0.266632
820,4.1,1,0.105874,0.732374,0.672624,-0.377762,-0.190268,0.266632
840,4.2,0,-0.0679813,-0.71244,-0.698436,0.379935,0.208332,-0.249491
840,4.2,1,0.0679813,0.71244,0.698436,-0.379935,-0.208332,0.249491
860,4.3,0,-0.0299185,-0.690725,-0.722502,0.381159,0.225875,-0.231725
860,4.3,1,0.0299185,0.690725,0.722502,-0.381159,-0.225875,0.231725
880,4.4,0,0.00821894,-0.667284,-0.744762,0.381431,0.242854,-0.213381
880,4.4,1,-0.00821894,0.667284,0.744762,-0.381431,-0.242854,0.213381
900,4.5,0,0.0463359,-0.642174,-0.76516,0.380749,0.259225,-0.194503
900,4.5,1,-0.0463359,0.642174,0.76516,-0.380749,-0.259225,0.194503
920,4.6,0,0.084337,-0.61546,-0.783646,0.379115,0.274949,-0.175139
920,4.6,1,-0.084337,0.61546,0.783646,-0.379115,-0.274949,0.175139
940,4.7,0,0.122127,-0.587207,-0.800174,0.376534,0.289985,-0.155337
940,4.7,1,-0.122127,0.587207,0.800174,-0.376534,-0.289985,0.155337
960,4.8,0,0.159612,-0.557487,-0.814701,0.373011,0.304297,-0.135148
960,4.8,1,-0.159612,0.557487,0.814701,-0.373011,-0.304297,0.135148
980,4.9,0,0.196699,-0.526373,-0.827192,0.368556,0.317848,-0.11462
980,4.9,1,-0.196699,0.526373,0.827192,-0.368556,-0.317848,0.11462
1000,5,0,0.233293,-0.493944,-0.837615,0.36318,0.330604,-0.0938055
1000,5,1,-0.233293,0.493944,0.837615,-0.36318,-0.330604,0.0938055
1020,5.1,0,0.269304,-0.46028,-0.845945,0.356897,0.342534,-0.0727568
1020,5.1,1,-0.269304,0.46028,0.845945,-0.356897,-0.342534,0.0727568
1040,5.2,0,0.304643,-0.425466,-0.852161,0.349721,0.353608,-0.0515263
1040,5.2,1,-0.304643,0.425466,0.852161,-0.349721,-0.353608,0.0515263
1060,5.3,0,0.33922,-0.389588,-0.856246,0.341671,0.363799,-0.030167
1060,5.3,1,-0.33922,0.389588,0.856246,-0.341671,-0.363799,0.030167
1080,5.4,0,0.372949,-0.352736,-0.858191,0.332767,0.373079,-0.00873222
1080,5.4,1,-0.372949,0.352736,0.858191,-0.332767,-0.373079,0.00873222
1100,5.5,0,0.405745,-0.315003,-0.857992,0.323032,0.381428,0.0127243
1100,5.5,1,-0.405745,0.315003,0.857992,-0.323032,-0.381428,-0.0127243
1120,5.6,0,0.437528,-0.276482,-0.855648,0.312489,0.388823,0.0341491
1120,5.6,1,-0.437528,0.276482,0.855648,-0.312489,-0.388823,-0.0341491
1140,5.7,0,0.468217,-0.237271,-0.851165,0.301164,0.395246,0.0554885
1140,5.7,1,-0.468217,0.237271,0.851165,-0.301164,-0.395246,-0.0554885
1160,5.8,0,0.497736,-0.197466,-0.844555,0.289088,0.400681,0.0766892
1160,5.8,1,-0.497736,0.197466,0.844555,-0.289088,-0.400681,-0.0766892
1180,5.9,0,0.526011,-0.157168,-0.835833,0.276288,0.405115,0.0976982
1180,5.9,1,-0.526011,0.157168,0.835833,-0.276288,-0.405115,-0.0976982
1200,6,0,0.552971,-0.116476,-0.825023,0.262798,0.408536,0.118463
1200,6,1,-0.552971,0.116476,0.825023,-0.262798,-0.408536,-0.118463
1220,6.1,0,0.578548,-0.0754942,-0.812151,0.248652,0.410937,0.138932
1220,6.1,1,-0.578548,0.0754942,0.812151,-0.248652,-0.410937,-0.138932
1240,6.2,0,0.60268,-0.0343233,-0.797248,0.233883,0.41231,0.159053
1240,6.2,1,-0.60268,0.0343233,0.797248,-0.233883,-0.41231,-0.159053
1260,6.3,0,0.625306,0.00693338,-0.780353,0.21853,0.412652,0.178777
1260,6.3,1,-0.625306,-0.00693338,0.780353,-0.21853,-0.412652,-0.178777
1280,6.4,0,0.646368,0.0481728,-0.761508,0.202631,0.411963,0.198054
1280,6.4,1,-0.646368,-0.0481728,0.761508,-0.202631,-0.411963,-0.198054
1300,6.5,0,0.665815,0.0892917,-0.740759,0.186226,0.410244,0.216836
1300,6.5,1,-0.665815,-0.0892917,0.740759,-0.186226,-0.410244,-0.216836
1320,6.6,0,0.683598,0.130188,-0.718158,0.169355,0.4075,0.235076
1320,6.6,1,-0.683598,-0.130188,0.718158,-0.169355,-0.4075,-0.235076
1340,6.7,0,0.699672,0.170758,-0.693763,0.15206,0.403738,0.252729
1340,6.7,1,-0.699672,-0.170758,0.693763,-0.15206,-0.403738,-0.252729
1360,6.8,0,0.713997,0.210902,-0.667634,0.134386,0.398966,0.26975
1360,6.8,1,-0.713997,-0.210902,0.667634,-0.134386,-0.398966,-0.26975
1380,6.9,0,0.726538,0.250518,-0.639836,0.116376,0.393197,0.286096
1380,6.9,1,-0.726538,-0.250518,0.639836,-0.116376,-0.393197,-0.286096
1400,7,0,0.737263,0.289508,-0.610438,0.0980746,0.386445,0.301728
1400,7,1,-0.737263,-0.289508,0.610438,-0.0980746,-0.386445,-0.301728
1420,7.1,0,0.746145,0.327775,-0.579515,0.0795284,0.378728,0.316605
1420,7.1,1,-0.746145,-0.327775,0.579515,-0.0795284,-0.378728,-0.316605
1440,7.2,0,0.753162,0.365222,-0.547143,0.0607833,0.370064,0.330691
1440,7.2,1,-0.753162,-0.365222,0.547143,-0.0607833,-0.370064,-0.330691
1460,7.3,0,0.758296,0.401757,-0.513404,0.0418863,0.360475,0.343951
1460,7.3,1,-0.758296,-0.401757,0.513404,-0.0418863,-0.360475,-0.343951
1480,7.4,0,0.761536,0.437287,-0.478382,0.0228846,0.349984,0.356351
1480,7.4,1,-0.761536,-0.437287,0.478382,-0.0228846,-0.349984,-0.356351
1500,7.5,0,0.762871,0.471725,-0.442164,0.00382576,0.33862,0.36786
1500,7.5,1,-0.762871,-0.471725,0.442164,-0.00382576,-0.33862,-0.36786
1520,7.6,0,0.7623,0.504983,-0.40484,-0.0152427,0.326408,0.378449
1520,7.6,1,-0.7623,-0.504983,0.40484,0.0152427,-0.326408,-0.378449
1540,7.7,0,0.759824,0.536979,-0.366505,-0.034273,0.313381,0.388093
1540,7.7,1,-0.759824,-0.536979,0.366505,0.034273,-0.313381,-0.388093
1560,7.8,0,0.755449,0.567633,-0.327254,-0.0532177,0.299571,0.396767
1560,7.8,1,-0.755449,-0.567633,0.327254,0.0532177,-0.299571,-0.396767
1580,7.9,0,0.749185,0.596869,-0.287185,-0.0720294,0.285012,0.404449
1580,7.9,1,-0.749185,-0.596869,0.287185,0.0720294,-0.285012,-0.404449
1600,8,0,0.741049,0.624612,-0.246398,-0.0906611,0.26974,0.41112
1600,8,1,-0.741049,-0.624612,0.246398,0.0906611,-0.26974,-0.41112
1620,8.1,0,0.73106,0.650794,-0.204995,-0.109066,0.253794,0.416764
1620,8.1,1,-0.73106,-0.650794,0.204995,0.109066,-0.253794,-0.416764
1640,8.2,0,0.719245,0.67535,-0.16308,-0.127199,0.237214,0.421365
1640,8.2,1,-0.719245,-0.67535,0.16308,0.127199,-0.237214,-0.421365
1660,8.3,0,0.705631,0.698217,-0.120757,-0.145013,0.220041,0.424914
1660,8.3,1,-0.705631,-0.698217,0.120757,0.145013,-0.220041,-0.424914
1680,8.4,0,0.690254,0.71934,-0.0781324,-0.162465,0.202318,0.427401
1680,8.4,1,-0.690254,-0.71934,0.0781324,0.162465,-0.202318,-0.427401
1700,8.5,0,0.673152,0.738664,-0.0353124,-0.179511,0.184089,0.428819
1700,8.5,1,-0.673152,-0.738664,0.0353124,0.179511,-0.184089,-0.428819
1720,8.6,0,0.654367,0.756142,0.00759578,-0.196108,0.1654,0.429166
1720,8.6,1,-0.654367,-0.756142,-0.00759578,0.196108,-0.1654,-0.429166
1740,8.7,0,0.633946,0.77173,0.050485,-0.212216,0.146298,0.428439
1740,8.7,1,-0.633946,-0.77173,-0.050485,0.212216,-0.146298,-0.428439
1760,8.8,0,0.611941,0.78539,0.0932481,-0.227792,0.12683,0.426642
1760,8.8,1,-0.611941,-0.78539,-0.0932481,0.227792,-0.12683,-0.426642
1780,8.9,0,0.588407,0.797086,0.135778,-0.2428,0.107045,0.423779
1780,8.9,1,-0.588407,-0.797086,-0.135778,0.2428,-0.107045,-0.423779
1800,9,0,0.563401,0.80679,0.177969,-0.2572,0.0869929,0.419856
1800,9,1,-0.563401,-0.80679,-0.177969,0.2572,-0.0869929,-0.419856
1820,9.1,0,0.536988,0.814477,0.219714,-0.270958,0.0667229,0.414884
1820,9.1,1,-0.536988,-0.814477,-0.219714,0.270958,-0.0667229,-0.414884
1840,9.2,0,0.509232,0.820129,0.260911,-0.284038,0.0462862,0.408875
1840,9.2,1,-0.509232,-0.820129,-0.260911,0.284038,-0.0462862,-0.408875
1860,9.3,0,0.480204,0.823731,0.301455,-0.296409,0.0257338,0.401844
1860,9.3,1,-0.480204,-0.823731,-0.301455,0.296409,-0.0257338,-0.401844
1880,9.4,0,0.449975,0.825273,0.341246,-0.308038,0.00511708,0.393809
1880,9.4,1,-0.449975,-0.825273,-0.341246,0.308038,-0.00511708,-0.393809
1900,9.5,0,0.418622,0.824754,0.380184,-0.318898,-0.0155124,0.384789
1900,9.5,1,-0.418622,-0.824754,-0.380184,0.318898,0.0155124,-0.384789
1920,9.6,0,0.386222,0.822172,0.418172,-0.328961,-0.0361032,0.374808
1920,9.6,1,-0.386222,-0.822172,-0.418172,0.328961,0.0361032,-0.374808
1940,9.7,0,0.352857,0.817536,0.455115,-0.338201,-0.0566037,0.363889
1940,9.7,1,-0.352857,-0.817536,-0.455115,0.338201,0.0566037,-0.363889
1960,9.8,0,0.31861,0.810856,0.49092,-0.346596,-0.0769628,0.352061
1960,9.8,1,-0.31861,-0.810856,-0.49092,0.346596,0.0769628,-0.352061
1980,9.9,0,0.283567,0.80215,0.525498,-0.354125,-0.0971295,0.339354
1980,9.9,1,-0.283567,-0.80215,-0.525498,0.354125,0.0971295,-0.339354
2000,10,0,0.247815,0.791438,0.558762,-0.360768,-0.117053,0.325798
2000,10,1,-0.247815,-0.791438,-0.558762,0.360768,0.117053,-0.325798
2020,10.1,0,0.211443,0.778749,0.59063,-0.36651,-0.136685,0.311427
2020,10.1,1,-0.211443,-0.778749,-0.59063,0.36651,0.136685,-0.311427
2040,10.2,0,0.174543,0.764113,0.621022,-0.371336,-0.155974,0.296279
2040,10.2,1,-0.174543,-0.764113,-0.621022,0.371336,0.155974,-0.296279
2060,10.3,0,0.137207,0.747567,0.649861,-0.375234,-0.174874,0.280389
2060,10.3,1,-0.137207,-0.747567,-0.649861,0.375234,0.174874,-0.280389
2080,10.4,0,0.0995274,0.729152,0.677077,-0.378194,-0.193337,0.263799
2080,10.4,1,-0.0995274,-0.729152,-0.677077,0.378194,0.193337,-0.263799
2100,10.5,0,0.0615994,0.708916,0.702599,-0.380208,-0.211317,0.24655
2100,10.5,1,-0.0615994,-0.708916,-0.702599,0.380208,0.211317,-0.24655
2120,10.6,0,0.0235174,0.686907,0.726366,-0.381272,-0.228768,0.228684
2120,10.6,1,-0.0235174,-0.686907,-0.726366,0.381272,0.228768,-0.228684
2140,10.7,0,-0.0146234,0.663181,0.748317,-0.381383,-0.245648,0.210247
2140,10.7,1,0.0146234,-0.663181,-0.748317,0.381383,0.245648,-0.210247
2160,10.8,0,-0.0527276,0.637798,0.768398,-0.380541,-0.261913,0.191284
2160,10.8,1,0.0527276,-0.637798,-0.768398,0.380541,0.261913,-0.191284
2180,10.9,0,-0.0907,0.61082,0.786558,-0.378748,-0.277524,0.171843
2180,10.9,1,0.0907,-0.61082,-0.786558,0.378748,0.277524,-0.171843
2200,11,0,-0.128446,0.582316,0.802752,-0.376008,-0.292441,0.151972
2200,11,1,0.128446,-0.582316,-0.802752,0.376008,0.292441,-0.151972
2220,11.1,0,-0.16587,0.552356,0.81694,-0.372329,-0.306628,0.131722
2220,11.1,1,0.16587,-0.552356,-0.81694,0.372329,0.306628,-0.131722
2240,11.2,0,-0.202881,0.521016,0.829086,-0.367718,-0.320048,0.111142
2240,11.2,1,0.202881,-0.521016,-0.829086,0.367718,0.320048,-0.111142
2260,11.3,0,-0.239384,0.488373,0.839159,-0.362189,-0.332668,0.090285
2260,11.3,1,0.239384,-0.488373,-0.839159,0.362189,0.332668,-0.090285
2280,11.4,0,-0.275288,0.45451,0.847135,-0.355754,-0.344456,0.0692019
2280,11.4,1,0.275288,-0.45451,-0.847135,0.355754,0.344456,-0.0692019
2300,11.5,0,-0.310505,0.419511,0.852994,-0.34843,-0.355384,0.0479459
2300,11.5,1,0.310505,-0.419511,-0.852994,0.34843,0.355384,-0.0479459
2320,11.6,0,-0.344945,0.383463,0.85672,-0.340235,-0.365423,0.0265701
2320,11.6,1,0.344945,-0.383463,-0.85672,0.340235,0.365423,-0.0265701
2340,11.7,0,-0.378524,0.346456,0.858305,-0.33119,-0.374549,0.00512782
2340,11.7,1,0.378524,-0.346456,-0.858305,0.33119,0.374549,-0.00512782
2360,11.8,0,-0.411156,0.308584,0.857745,-0.321317,-0.382738,-0.0163273
2360,11.8,1,0.411156,-0.308584,-0.857745,0.321317,0.382738,0.0163273
2380,11.9,0,-0.44276,0.26994,0.855041,-0.310641,-0.389972,-0.0377415
2380,11.9,1,0.44276,-0.26994,-0.855041,0.310641,0.389972,0.0377415
2400,12,0,-0.473258,0.230622,0.8502,-0.299188,-0.39623,-0.0590615
2400,12,1,0.473258,-0.230622,-0.8502,0.299188,0.39623,0.0590615
2420,12.1,0,-0.502573,0.190727,0.843234,-0.286988,-0.401498,-0.0802338
2420,12.1,1,0.502573,-0.190727,-0.843234,0.286988,0.401498,0.0802338
2440,12.2,0,-0.530632,0.150356,0.83416,-0.27407,-0.405762,-0.101206
2440,12.2,1,0.530632,-0.150356,-0.83416,0.27407,0.405762,0.101206
2460,12.3,0,-0.557364,0.109609,0.823001,-0.260467,-0.409012,-0.121924
2460,12.3,1,0.557364,-0.109609,-0.823001,0.260467,0.409012,0.121924
2480,12.4,0,-0.582704,0.0685875,0.809785,-0.246214,-0.41124,-0.142338
2480,12.4,1,0.582704,-0.0685875,-0.809785,0.246214,0.41124,0.142338
2500,12.5,0,-0.606586,0.0273948,0.794545,-0.231344,-0.41244,-0.162397
2500,12.5,1,0.606586,-0.0273948,-0.794545,0.231344,0.41244,0.162397
2520,12.6,0,-0.628953,-0.0138663,0.777319,-0.215897,-0.41261,-0.182049
2520,12.6,1,0.628953,0.0138663,-0.777319,0.215897,0.41261,0.182049
2540,12.7,0,-0.649748,-0.0550928,0.758151,-0.19991,-0.411747,-0.201247
2540,12.7,1,0.649748,0.0550928,-0.758151,0.19991,0.411747,0.201247
2560,12.8,0,-0.668919,-0.0961816,0.737087,-0.183423,-0.409856,-0.219941
2560,12.8,1,0.668919,0.0961816,-0.737087,0.183423,0.409856,0.219941
2580,12.9,0,-0.686417,-0.13703,0.714181,-0.166478,-0.40694,-0.238086
2580,12.9,1,0.686417,0.13703,-0.714181,0.166478,0.40694,0.238086
2600,13,0,-0.7022,-0.177536,0.68949,-0.149116,-0.403007,-0.255635
2600,13,1,0.7022,0.177536,-0.68949,0.149116,0.403007,0.255635
2620,13.1,0,-0.716228,-0.217598,0.663075,-0.131382,-0.398067,-0.272546
2620,13.1,1,0.716228,0.217598,-0.663075,0.131382,0.398067,0.272546
2640,13.2,0,-0.728466,-0.257116,0.635003,-0.11332,-0.392132,-0.288775
2640,13.2,1,0.728466,0.257116,-0.635003,0.11332,0.392132,0.288775
2660,13.3,0,-0.738883,-0.295992,0.605344,-0.0949743,-0.385217,-0.304283
2660,13.3,1,0.738883,0.295992,-0.605344,0.0949743,0.385217,0.304283
2680,13.4,0,-0.747453,-0.334128,0.574172,-0.0763913,-0.377339,-0.31903
