step,time,kinetic,potential,total,Px,Py
3900,7.8,0.303425,-0.327266,-0.0238409,-1.14502e-05,6.37402e-05
3950,7.9,0.324061,-0.347896,-0.0238356,-9.44933e-06,6.34668e-05
4000,8,0.342607,-0.366439,-0.0238313,-1.14423e-05,6.64187e-05
4050,8.1,0.358633,-0.382454,-0.023821,-1.66696e-05,6.47379e-05
4100,8.2,0.371033,-0.394849,-0.0238169,-1.64119e-05,5.88007e-05
4150,8.3,0.378184,-0.402,-0.0238168,-1.74107e-05,5.79367e-05
4200,8.4,0.379081,-0.402896,-0.0238146,-1.40045e-05,6.27967e-05
4250,8.5,0.373133,-0.396944,-0.0238112,-1.60054e-05,7.10852e-05
4300,8.6,0.360236,-0.38405,-0.0238132,-2.04217e-05,7.28349e-05
4350,8.7,0.341473,-0.365294,-0.0238203,-2.07081e-05,7.15938e-05
4400,8.8,0.320054,-0.34388,-0.0238264,-1.87965e-05,6.77697e-05
4450,8.9,0.297595,-0.32143,-0.0238351,-1.59468e-05,6.91434e-05
4500,9,0.275281,-0.299116,-0.0238348,-1.35687e-05,6.72277e-05
4550,9.1,0.253776,-0.277612,-0.0238357,-1.55886e-05,6.67225e-05
4600,9.2,0.234069,-0.257909,-0.0238398,-2.20745e-05,6.52566e-05
4650,9.3,0.216304,-0.24015,-0.0238459,-2.8476e-05,5.85948e-05
4700,9.4,0.201025,-0.224874,-0.0238492,-2.86827e-05,5.39537e-05
4750,9.5,0.188572,-0.212421,-0.0238493,-2.73603e-05,5.30455e-05
4800,9.6,0.179032,-0.202883,-0.0238508,-2.33502e-05,5.34956e-05
4850,9.7,0.172528,-0.19638,-0.0238517,-2.14484e-05,5.34951e-05
4900,9.8,0.16902,-0.19287,-0.02385,-1.96675e-05,5.25695e-05
4950,9.9,0.168316,-0.192165,-0.0238496,-2.14331e-05,5.27632e-05
5000,10,0.169836,-0.193686,-0.0238499,-2.10241e-05,5.3877e-05
5050,10.1,0.173368,-0.197218,-0.0238501,-2.23362e-05,5.55198e-05
5100,10.2,0.178812,-0.202661,-0.0238488,-2.61485e-05,5.55147e-05
5150,10.3,0.186284,-0.210131,-0.0238476,-2.68453e-05,5.39584e-05
5200,10.4,0.19579,-0.219636,-0.0238457,-2.50018e-05,5.32265e-05
5250,10.5,0.207268,-0.231108,-0.0238405,-2.37992e-05,5.31001e-05
5300,10.6,0.218954,-0.24279,-0.0238366,-1.98549e-05,5.28969e-05
5350,10.7,0.2305,-0.254333,-0.0238335,-2.13378e-05,5.26e-05
5400,10.8,0.241926,-0.265761,-0.0238351,-2.13665e-05,5.17363e-05
