step,time,kinetic,potential,total,Px,Py
0,0,0.0945874,-0.11485,-0.020263,4.96022e-18,7.80626e-18
50,0.1,0.095978,-0.116233,-0.0202546,9.22825e-07,3.1888e-07
100,0.2,0.10043,-0.120656,-0.0202266,2.11299e-06,1.69701e-06
150,0.3,0.108016,-0.128194,-0.0201779,3.90703e-06,5.15781e-06
200,0.4,0.118868,-0.138971,-0.0201033,3.28167e-06,8.87431e-06
250,0.5,0.133167,-0.15317,-0.0200035,4.07143e-06,1.06228e-05
300,0.6,0.151159,-0.17103,-0.0198716,6.01921e-06,1.11354e-05
350,0.7,0.173146,-0.192844,-0.0196974,7.02637e-06,1.14811e-05
400,0.8,0.199481,-0.218948,-0.0194679,7.89019e-06,1.43498e-05
450,0.9,0.230535,-0.249701,-0.0191664,9.1521e-06,1.62151e-05
500,1,0.26664,-0.2854,-0.01876,9.87266e-06,1.92201e-05
550,1.1,0.307844,-0.326073,-0.0182289,1.02135e-05,2.16234e-05
600,1.2,0.353462,-0.37101,-0.0175481,8.6206e-06,2.25523e-05
650,1.3,0.40125,-0.417946,-0.0166959,5.76625e-06,1.98566e-05
700,1.4,0.446134,-0.461955,-0.0158211,8.82672e-06,1.47265e-05
750,1.5,0.480181,-0.495312,-0.0151313,8.34966e-06,1.56177e-05
800,1.6,0.495037,-0.509948,-0.0149111,6.88883e-06,1.64462e-05
850,1.7,0.486938,-0.502193,-0.0152544,8.67736e-06,1.98962e-05
900,1.8,0.459334,-0.47531,-0.0159768,7.48696e-06,2.12237e-05
950,1.9,0.419698,-0.436532,-0.0168342,8.19384e-06,1.94258e-05
1000,2,0.375256,-0.392907,-0.0176511,1.14235e-05,1.79489e-05
1050,2.1,0.331029,-0.349392,-0.0183628,1.41184e-05,1.7707e-05
1100,2.2,0.289827,-0.308765,-0.0189381,1.47046e-05,1.61421e-05
1150,2.3,0.2529,-0.272283,-0.0193833,1.4224e-05,1.37201e-05
1200,2.4,0.220617,-0.240342,-0.0197254,1.45538e-05,1.26597e-05
1250,2.5,0.192915,-0.212897,-0.019982,1.28402e-05,1.14486e-05
1300,2.6,0.169541,-0.189717,-0.0201755,1.30846e-05,1.25718e-05
