step,time,total,relDrift
0,0,-0.423208,0
60,0.6,-0.423082,0.000299
120,1.2,-0.422926,0.000666091
180,1.8,-0.422412,0.00188095
240,2.4,-0.422078,0.0026694
300,3,-0.421918,0.00304881
360,3.6,-0.421663,0.00365197
420,4.2,-0.421288,0.0045358
480,4.8,-0.42097,0.00528753
540,5.4,-0.420668,0.00600206
600,6,-0.419835,0.00796976
660,6.6,-0.419767,0.00813082
720,7.2,-0.419377,0.00905186
780,7.8,-0.418857,0.0102804
840,8.4,-0.418607,0.0108712
900,9,-0.418651,0.0107685
960,9.6,-0.418207,0.0118174
1020,10.2,-0.418248,0.0117198
1080,10.8,-0.417996,0.0123152
1140,11.4,-0.41723,0.0141246
1200,12,-0.417012,0.0146417
1260,12.6,-0.416335,0.0162407
1320,13.2,-0.415297,0.0186935
1380,13.8,-0.416746,0.0152684
1440,14.4,-0.417477,0.0135414
1500,15,-0.417107,0.0144165
1560,15.6,-0.416879,0.0149544
1620,16.2,-0.416671,0.0154466
1680,16.8,-0.416157,0.0166617
1740,17.4,-0.416199,0.0165618
1800,18,-0.415201,0.01892
1860,18.6,-0.413516,0.0229023
1920,19.2,-0.415699,0.0177422
1980,19.8,-0.414539,0.0204841
2040,20.4,-0.414983,0.0194342
2100,21,-0.414941,0.0195336
2160,21.6,-0.414708,0.020084
2220,22.2,-0.414337,0.020961
2280,22.8,-0.414623,0.0202852
2340,23.4,-0.414333,0.0209701
2400,24,-0.413252,0.0235252
2460,24.6,-0.412344,0.0256705
2520,25.2,-0.414935,0.0195492
2580,25.8,-0.414844,0.0197629
2640,26.4,-0.411123,0.0285548
2700,27,-0.412941,0.0242597
2760,27.6,-0.412885,0.0243926
2820,28.2,-0.412655,0.0249361
2880,28.8,-0.41275,0.0247103
2940,29.4,-0.41247,0.025374
3000,30,-0.412755,0.0246991
